source_id,designation_aw,tmass_designation,ra,dec,glon,glat,ecl_lat,b_band,parallax,parallax_error,pmra,pmdec,r_med_geo,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,M_G,j_m,h_m,ks_m,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,snr3,snr4,w3snr_aw,w4snr_aw,rmse,t_ds,gamma,gvar,verdict,verdict_reason,flag_v1_w3nm0,flag_v1_w4nm0,flag_v1_w3flg32,flag_v1_w4flg32,ph_qual_aw,ph_qual_as,flag_v2_release_inconsistent,flag_v3_subthreshold,p_chance_1as,v5_centroid,n1_flag,n1_cat,n1_name,n1_sep_as,n1_r_as,n2_score,n2_flag,nebular_flag,w3sky,w4sky,w3conf,w4conf
856731076587435392,J112441.00+581249.0,11244096+5812491,171.17093,58.213571,142.984656,55.407532,48.392877,core_b50,3.938616,0.144391,26.121173,-13.354503,251.7233,1.009312,18.610643,20.222052,17.398548,11.606026,15.681,15.088,14.806,14.6,0.029,14.374,0.044,12.061,0.235,8.25,0.229,4.62,4.741048,4.6,4.7,0.064679,140.677966,0.248233,0.932539,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.6, W4 S/N 4.7) — the excess is at the instrument floor, candidate I's failure mode",False,False,False,False,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.40556,False,False,1502.651,440.195,4.364,2.044
915114598561845376,J083049.52+414056.8,08304955+4140569,127.706382,41.682409,179.421341,35.628355,22.030046,outer_b30_50,4.424193,0.064144,-19.763626,-26.744946,224.0933,1.01351,16.321575,17.71147,15.167914,9.569431,13.632,12.949,12.692,12.546,0.023,12.382,0.023,10.753,0.104,7.583,0.165,10.439423,6.58,10.4,6.6,0.179549,150.847458,0.1,1.279455,CONTAMINATION-CONSISTENT,release-inconsistent: W4 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE,False,False,False,False,AAAB,AABU,True,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.798176,False,False,2284.579,715.032,5.891,4.029
916773138837599232,J083443.68+425116.5,08344369+4251167,128.681969,42.8546,178.068609,36.464394,23.352264,outer_b30_50,3.987845,0.28132,-10.336848,-8.53544,254.65594,1.140981,18.822435,20.63889,17.536636,11.792666,15.724,15.137,14.833,14.579,0.029,14.276,0.049,11.275,0.191,8.001,0.253,5.684293,4.291304,5.7,4.3,0.097281,161.016949,0.288848,0.934281,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.687376,False,False,2229.721,693.22,4.932,2.194
1022359210388771328,J091545.54+515325.9,09154560+5153270,138.939702,51.890385,165.950598,43.020367,34.100731,outer_b30_50,16.894545,0.054503,-47.162706,-101.552326,58.97696,1.065218,16.490881,18.59775,15.17117,12.637469,13.172,12.588,12.253,12.066,0.024,11.858,0.023,11.669,0.196,7.968,0.263,5.539286,4.128137,5.5,4.1,0.137717,100.0,0.1,1.315824,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd; release-inconsistent: W4 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE",False,True,False,False,AABB,AABU,True,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.794429,False,False,1870.014,560.211,4.671,3.54
1029198241433680512,J084510.34+522244.9,08451038+5222448,131.293055,52.379153,166.093534,38.304916,32.974739,outer_b30_50,3.918122,0.030617,-29.408717,-0.133998,252.16322,1.035749,15.518208,16.49842,14.538273,8.5098,13.345,12.674,12.495,12.352,0.023,12.306,0.024,11.541,0.206,7.941,0.183,5.270388,5.932787,5.3,5.9,0.186024,100.0,0.1,0.717102,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.847098,False,False,1891.254,568.795,2.727,3.246
1030096778655069312,J085443.44+545606.1,08544343+5456064,133.681053,54.935012,162.633263,39.434629,35.851874,outer_b30_50,5.157998,0.137645,11.715964,-27.878381,194.76138,1.020924,18.259796,20.008081,17.008724,11.812282,15.264,14.664,14.363,14.237,0.028,14.024,0.039,10.96,0.099,8.04,0.196,10.966667,5.539286,11.0,5.5,0.0626,171.186441,0.213329,0.872353,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AAAB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.593515,False,False,1800.726,537.329,2.229,2.242
1080477539607113216,J115147.23+763110.9,11514731+7631110,177.946737,76.519715,127.428967,40.083224,62.733273,outer_b30_50,5.395266,0.064383,-24.102131,0.686025,183.8598,1.007591,17.174892,18.867403,15.929459,10.852458,14.18,13.574,13.349,13.119,0.023,12.904,0.023,11.25,0.114,7.809,0.136,9.523684,7.983088,9.5,8.0,0.110444,150.847458,0.107871,1.033542,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.979709,False,False,1334.449,378.115,3.841,0.857
1081358179701867520,J075435.40+562229.3,07543548+5622299,118.647324,56.374667,161.329541,30.915732,34.79606,outer_b30_50,7.861209,0.086717,-57.713112,-70.288112,126.60076,1.12622,16.88659,18.581146,15.664169,11.374408,13.977,13.447,13.193,12.947,0.023,12.719,0.025,10.857,0.114,8.196,0.259,9.523684,4.191892,9.5,4.2,0.179156,161.016949,0.1,0.8821,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd",False,True,False,False,AABB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.757614,False,False,1856.396,552.112,4.441,2.027
1154795003701462272,J150408.91+033358.2,15040895+0333589,226.037102,3.566069,2.134553,50.517622,20.049278,core_b50,5.621828,0.110341,-49.80848,-68.115702,177.42079,1.186969,17.291426,19.078468,16.043129,11.046403,14.358,13.786,13.63,13.321,0.025,13.102,0.031,12.192,0.302,8.256,0.217,3.595033,5.003226,3.6,5.0,0.07067,120.338983,0.107871,1.04134,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.936789,False,False,2385.219,743.591,6.261,4.943
1179110845084033280,J142954.16+114140.4,14295414+1141398,217.475675,11.694623,3.991719,62.218909,25.021787,core_b50,4.600165,0.115124,-5.015837,27.014971,216.18663,1.090583,17.677063,19.09213,16.51991,11.002919,14.881,14.422,14.178,13.913,0.025,13.673,0.031,11.932,0.199,8.737,0.294,5.455779,3.692857,5.5,3.7,0.151359,150.847458,0.1,0.934289,CONTAMINATION-CONSISTENT,release-inconsistent: W4 is a non-detection ('U') in the WISE All-Sky reduction of the same photons but 'B' in AllWISE,False,False,False,False,AABB,AABU,True,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.497562,False,False,2130.71,662.167,5.533,3.968
1184666505540509056,J145013.41+131346.9,14501345+1313472,222.555884,13.229646,12.265556,58.974254,28.154485,core_b50,3.751601,0.142279,-34.261305,-31.437601,263.80966,0.896283,18.084587,19.814148,16.828833,10.978134,15.01,14.402,14.115,13.939,0.025,13.751,0.032,12.195,0.276,8.728,0.297,3.933696,3.655556,3.9,3.7,0.132816,150.847458,0.1,0.910334,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 3.9, W4 S/N 3.7) — the excess is at the instrument floor, candidate I's failure mode",False,False,False,False,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.228102,False,False,2026.407,610.909,4.566,2.202
1208571468876585984,J151659.05+173549.8,15165906+1735499,229.246115,17.597162,24.79595,55.164615,34.374497,core_b50,3.824159,0.083835,-8.852266,-7.342053,258.39963,0.973016,17.3396,18.720984,16.200073,10.278141,14.692,14.064,13.849,13.67,0.024,13.479,0.031,11.806,0.188,8.36,0.215,5.775,5.049767,5.8,5.0,0.0383,150.847458,0.1,0.972158,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.566643,False,False,1792.51,531.063,6.226,2.11
1213582939796616192,J151119.27+205322.8,15111927+2053225,227.830281,20.889649,29.538676,57.559397,37.055152,core_b50,3.975399,0.062518,-4.781527,3.802012,250.09618,0.951196,16.997025,18.243435,15.896009,10.00649,14.397,13.924,13.665,13.462,0.024,13.311,0.026,12.079,0.224,8.454,0.208,4.846875,5.219712,4.9,5.2,0.112042,130.508475,0.1,0.94012,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure,True,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.27311,False,False,1705.626,501.957,4.978,3.661
1215825943517637632,J151946.62+234747.1,15194660+2347471,229.944293,23.796426,35.657553,56.471095,40.449314,core_b50,3.639156,0.042215,9.743552,-4.805646,271.91803,0.942121,16.211315,17.400509,15.127019,9.039125,13.725,13.075,12.857,12.702,0.023,12.618,0.024,11.21,0.114,7.927,0.143,9.523684,7.592308,9.5,7.6,0.175669,130.508475,0.1,0.804888,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.887431,False,False,1623.089,473.03,7.296,2.54
1231501539059734272,J140247.36+153927.4,14024738+1539276,210.697292,15.657616,1.856183,69.856056,26.304925,core_b50,3.659886,0.11933,-31.115161,-9.281645,272.05252,1.000711,17.864212,19.318495,16.70131,10.690948,15.14,14.546,14.327,14.08,0.026,13.892,0.034,12.057,0.257,8.524,0.264,4.224514,4.1125,4.2,4.1,0.065831,140.677966,0.1354,0.862976,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.2, W4 S/N 4.1) — the excess is at the instrument floor, candidate I's failure mode",True,True,False,False,AABB,AAUC,True,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.284721,False,False,2042.159,630.213,5.596,2.945
1251430569566084352,J134640.64+230604.2,13464067+2306042,206.669334,23.101164,18.109054,76.872539,31.614511,core_b50,5.521991,0.039389,-32.491356,-9.829389,179.6669,0.980635,15.809479,17.062143,14.700099,9.537139,13.26,12.632,12.401,12.292,0.023,12.16,0.023,12.034,0.242,7.74,0.135,4.486364,8.042222,4.5,8.0,0.099484,100.0,0.1,1.104196,CONTAMINATION-CONSISTENT,w3nm = 0: never detected in a single exposure,True,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.746507,False,False,1837.524,559.611,3.427,2.658
1261659498038120064,J150344.46+211729.7,15034450+2117292,225.935187,21.29164,29.236356,59.365746,36.831713,core_b50,3.749369,0.160067,-46.414206,29.380353,263.2664,0.977789,18.261963,19.803469,17.068453,11.159986,15.39,14.762,14.669,14.401,0.026,14.182,0.035,11.739,0.172,8.557,0.261,6.312209,4.15977,6.3,4.2,0.079781,161.016949,0.157554,0.86991,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd",False,True,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.25627,False,False,1700.718,502.119,2.046,2.114
1265371002616796928,J151120.08+260015.0,15112012+2600145,227.83361,26.004271,38.958988,58.799171,41.854596,core_b50,3.598234,0.0794,-47.076812,48.00063,275.3293,1.153749,17.204601,18.587646,16.082464,10.005339,14.577,13.988,13.685,13.504,0.024,13.341,0.026,11.033,0.094,8.837,0.298,11.55,3.643289,11.5,3.6,0.183067,191.525424,0.1,0.860681,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AAAB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.73588,False,False,1577.759,460.249,2.167,2.669
1272193884586439552,J152332.28+293103.7,15233228+2931038,230.884414,29.517777,46.150891,56.589146,46.104375,core_b50,3.324627,0.104738,-3.241505,-13.462112,297.3607,1.181223,17.609055,18.782936,16.145367,10.242637,14.494,13.857,13.67,13.395,0.024,13.233,0.026,12.173,0.234,8.402,0.223,4.639744,4.86861,4.6,4.9,0.181253,130.508475,0.1,1.39504,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 4.6, W4 S/N 4.9) — the excess is at the instrument floor, candidate I's failure mode",False,True,False,False,AABB,AABB,False,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.270536,False,False,1474.307,427.334,4.371,2.723
1288599560144625152,J150539.07+313829.0,15053915+3138287,226.412731,31.641399,49.877477,60.533954,46.602321,core_b50,4.681359,0.06873,-69.921633,11.319254,211.45537,1.002717,17.440271,18.914305,16.264017,10.814177,14.69,14.117,13.861,13.647,0.024,13.275,0.026,11.098,0.08,8.49,0.207,13.57125,5.244928,13.5,5.3,0.10313,181.355932,0.1,0.900768,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AAAB,AAAB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.167201,False,False,1446.741,422.654,0.0,0.0
1295372620489889536,J150509.51+373644.7,15050961+3736444,226.289473,37.612433,61.91334,60.073712,51.97326,core_b50,3.551798,0.095126,-79.325879,13.073455,279.04474,1.023476,18.036077,19.50759,16.852463,10.807708,15.3,14.789,14.243,14.315,0.026,14.137,0.036,12.585,0.305,8.855,0.282,3.559672,3.85,3.6,3.9,0.10316,130.508475,0.125521,0.903833,SUB-THRESHOLD,"both excess bands below WISE's own 5σ standard (W3 S/N 3.6, W4 S/N 3.9) — the excess is at the instrument floor, candidate I's failure mode",True,True,False,False,AABB,AAUU,True,True,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.747058,False,False,1397.594,402.525,3.213,1.222
1331774220670538240,J163328.92+390010.8,16332891+3900111,248.37052,39.0029,62.233707,42.734898,59.857419,outer_b30_50,4.284392,0.06741,7.058412,-46.69969,232.30173,0.945604,17.498352,18.7359,16.392647,10.66809,14.961,14.335,14.045,13.966,0.025,13.738,0.03,11.727,0.175,8.305,0.219,6.204,4.957534,6.2,5.0,0.184123,150.847458,0.116362,0.893741,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.708782,False,False,1390.709,388.211,0.0,2.061
1348054414465651840,J171618.99+412755.7,17161901+4127559,259.079172,41.465464,66.295958,34.810188,64.185124,outer_b30_50,3.302345,0.056134,-8.21184,-13.096267,299.10312,0.978166,17.233294,18.616432,16.080597,9.854189,14.504,13.877,13.668,13.472,0.025,13.365,0.027,12.123,0.216,8.889,0.29,5.026389,3.743793,5.0,3.7,0.182868,130.508475,0.1,0.97062,CONTAMINATION-CONSISTENT,"w4nm = 0: never detected in a single exposure, only in the coadd; w3nm = 0: never detected in a single exposure; w4flg = 32: the independent aperture photometry gives a 95% upper limit, not a detection",True,True,False,True,AABB,AABB,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.997925,True,True,1345.857,373.429,5.731,2.837
1362050883953093376,J173410.88+470542.6,17341088+4705421,263.545284,47.095274,73.458407,32.303108,70.241529,outer_b30_50,5.963594,0.089151,-15.664009,54.254682,166.47089,0.943339,17.773832,19.823586,16.592628,11.66714,14.727,14.318,13.955,13.78,0.025,13.552,0.027,12.18,0.203,8.239,0.168,5.348276,6.4625,5.4,6.5,0.076317,130.508475,0.1354,0.943549,INDETERMINATE,"passes every gate that could be applied, but a VALID centroid measurement (the peak-search axis fails its own validity check at scale -- M3 Sec 3.2) unavailable — nothing in the archive moves this object either way",False,False,False,False,AABB,AAAA,False,False,1e-06,"RETIRED (M5 PR-5) — not measured, not usable near the floor",False,,,,,0.763662,False,False,1292.557,357.076,6.096,3.891
