rank,tier,tier_label,object,n_tracklets,tracklets,obs_codes,n_new_obs,arc_extension_days,deepest_dt_years,joint_rms_arcsec,baseline_rms_arcsec,sigma_a_ratio,gates,skybot,ambiguity,provenance,itf_status,pointed_screen,link_keys,why_real
118,B,"single tracklet, caveat-free",2025 NA21,1,P10mCIy@F51/n57227,F51,3,3630.8,-10.88,0.063483,0.048708,,"strict=Y published=Y tracklet-used=3/3 sep=28.6""/gate=1970.5""","nearest other 37.959""",none,M8,STILL_LIVE,clean,lk1bda2c5ff496e348,"3-observation F51 tracklet 10.9 y from the orbit epoch fits jointly with the object's whole published record at 0.063483"" (baseline 0.048708"") with every observation used (3/3); coarse separation 28.6"" inside a 1970.5"" gate; extends the published arc by 3631 d."
119,B,"single tracklet, caveat-free",2025 QR117,1,P10nLfz@F51/n57274,F51,3,3629.8,-10.75,0.069649,0.045182,,"strict=Y published=Y tracklet-used=3/3 sep=12.7""/gate=444.5""","nearest other 216.081""",none,M8,STILL_LIVE,clean,lkd317a0a0a184bd02,"3-observation F51 tracklet 10.8 y from the orbit epoch fits jointly with the object's whole published record at 0.069649"" (baseline 0.045182"") with every observation used (3/3); coarse separation 12.7"" inside a 444.5"" gate; extends the published arc by 3630 d."
120,B,"single tracklet, caveat-free",2025 MQ359,1,P10mt0Q@F51/n57222,F51,3,3624.8,-10.89,0.070601,0.057599,,"strict=Y published=Y tracklet-used=3/3 sep=2.9""/gate=1973.2""","nearest other 154.869""",none,M8,STILL_LIVE,clean,lk8eb67a7629943ed1,"3-observation F51 tracklet 10.9 y from the orbit epoch fits jointly with the object's whole published record at 0.070601"" (baseline 0.057599"") with every observation used (3/3); coarse separation 2.9"" inside a 1973.2"" gate; extends the published arc by 3625 d."
121,B,"single tracklet, caveat-free",2025 ND20,1,P10n3Bv@F51/n57244,F51,4,3613.8,-10.83,0.06595,0.046463,,"strict=Y published=Y tracklet-used=4/4 sep=66.9""/gate=1961.1""","nearest other 145.988""",none,M8,STILL_LIVE,clean,lkf2a759476d585d05,"4-observation F51 tracklet 10.8 y from the orbit epoch fits jointly with the object's whole published record at 0.06595"" (baseline 0.046463"") with every observation used (4/4); coarse separation 66.9"" inside a 1961.1"" gate; extends the published arc by 3614 d."
122,B,"single tracklet, caveat-free",2026 DB30,1,N572990@W84/n57476,W84,5,3611.9,-10.19,0.027901,0.027601,,"strict=Y published=Y tracklet-used=5/5 sep=59.4""/gate=1832.6""","nearest other 159.873""",none,M8,STILL_LIVE,clean,lkb99034120f95001b,"5-observation W84 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.027901"" (baseline 0.027601"") with every observation used (5/5); coarse separation 59.4"" inside a 1832.6"" gate; extends the published arc by 3612 d."
123,B,"single tracklet, caveat-free",2026 DD31,1,N591052@W84/n57477,W84,3,3610.9,-10.19,0.10798,0.041935,,"strict=Y published=Y tracklet-used=3/3 sep=80.1""/gate=1832.1""","nearest other 205.128""",none,M8,STILL_LIVE,clean,lke18dedf1e173dfb3,"3-observation W84 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.10798"" (baseline 0.041935"") with every observation used (3/3); coarse separation 80.1"" inside a 1832.1"" gate; extends the published arc by 3611 d."
124,B,"single tracklet, caveat-free",2026 EN15,1,N352417@W84/n57509,W84,5,3605.0,-10.1,0.078216,0.080188,,"strict=Y published=Y tracklet-used=5/5 sep=87.7""/gate=1814.4""","nearest other 141.27""",none,M8,STILL_LIVE,clean,lkcabcf579ce8ba945,"5-observation W84 tracklet 10.1 y from the orbit epoch fits jointly with the object's whole published record at 0.078216"" (baseline 0.080188"") with every observation used (5/5); coarse separation 87.7"" inside a 1814.4"" gate; extends the published arc by 3605 d."
125,B,"single tracklet, caveat-free",2025 YC23,1,H445983@T09/n57421,T09,5,3604.9,-10.35,0.064269,0.063694,,"strict=Y published=Y tracklet-used=5/5 sep=7.5""/gate=1863.0""","nearest other 167.892""",none,M8,STILL_LIVE,clean,lk71bea2ba98537d0c,"5-observation T09 tracklet 10.3 y from the orbit epoch fits jointly with the object's whole published record at 0.064269"" (baseline 0.063694"") with every observation used (5/5); coarse separation 7.5"" inside a 1863.0"" gate; extends the published arc by 3605 d."
126,B,"single tracklet, caveat-free",2025 ME302,1,H485858@T09/n57243,T09,4,3603.8,-10.83,0.11136,0.085536,,"strict=Y published=Y tracklet-used=4/4 sep=118.4""/gate=1961.6""","nearest other 270.362""",none,M9-extension,STILL_LIVE,clean,lk806bd0d900a773b5,"4-observation T09 tracklet 10.8 y from the orbit epoch fits jointly with the object's whole published record at 0.11136"" (baseline 0.085536"") with every observation used (4/4); coarse separation 118.4"" inside a 1961.6"" gate; extends the published arc by 3604 d."
127,B,"single tracklet, caveat-free",2025 MW212,1,P10n5JK@F51/n57244,F51,3,3602.8,-10.83,0.061727,0.039825,,"strict=Y published=Y tracklet-used=3/3 sep=14.6""/gate=1961.0""","nearest other 235.036""",none,M8,STILL_LIVE,clean,lk93c1c9caae93284d,"3-observation F51 tracklet 10.8 y from the orbit epoch fits jointly with the object's whole published record at 0.061727"" (baseline 0.039825"") with every observation used (3/3); coarse separation 14.6"" inside a 1961.0"" gate; extends the published arc by 3603 d."
128,B,"single tracklet, caveat-free",2025 NS112,1,P10nUiz@F51/n57277,F51,3,3585.9,-10.74,0.090763,0.085613,,"strict=Y published=Y tracklet-used=3/3 sep=11.0""/gate=444.0""","nearest other 158.273""",none,M8,STILL_LIVE,clean,lk68f3714ff49f6eb6,"3-observation F51 tracklet 10.7 y from the orbit epoch fits jointly with the object's whole published record at 0.090763"" (baseline 0.085613"") with every observation used (3/3); coarse separation 11.0"" inside a 444.0"" gate; extends the published arc by 3586 d."
129,B,"single tracklet, caveat-free",2025 NU72,1,P10nTUj@F51/n57277,F51,4,3580.8,-10.74,0.089496,0.063578,,"strict=Y published=Y tracklet-used=4/4 sep=93.2""/gate=1942.8""","nearest other 149.443""",none,M8,STILL_LIVE,clean,lkfcbd7436c41edc36,"4-observation F51 tracklet 10.7 y from the orbit epoch fits jointly with the object's whole published record at 0.089496"" (baseline 0.063578"") with every observation used (4/4); coarse separation 93.2"" inside a 1942.8"" gate; extends the published arc by 3581 d."
130,B,"single tracklet, caveat-free",2025 MC157,1,P10nJdI@F51/n57274,F51,4,3572.9,-10.75,0.090072,0.083889,,"strict=Y published=Y tracklet-used=4/4 sep=16.0""/gate=1944.5""","nearest other 205.942""",none,M8,STILL_LIVE,clean,lk35e4e46598f2b908,"4-observation F51 tracklet 10.8 y from the orbit epoch fits jointly with the object's whole published record at 0.090072"" (baseline 0.083889"") with every observation used (4/4); coarse separation 16.0"" inside a 1944.5"" gate; extends the published arc by 3573 d."
131,B,"single tracklet, caveat-free",2025 MU132,1,P10nJgo@F51/n57274,F51,4,3572.9,-10.75,0.10445,0.088167,,"strict=Y published=Y tracklet-used=4/4 sep=53.1""/gate=1944.5""","nearest other 339.113""",none,M8,STILL_LIVE,clean,lka9b1c3b51afecf8d,"4-observation F51 tracklet 10.8 y from the orbit epoch fits jointly with the object's whole published record at 0.10445"" (baseline 0.088167"") with every observation used (4/4); coarse separation 53.1"" inside a 1944.5"" gate; extends the published arc by 3573 d."
132,B,"single tracklet, caveat-free",2025 QM194,1,P10ondv@F51/n57304,F51,4,3570.7,-10.67,0.092313,0.053724,,"strict=Y published=Y tracklet-used=4/4 sep=130.6""/gate=1927.7""","nearest other 147.337""",none,M9-extension,STILL_LIVE,clean,lkcc405d08e1c723e2,"4-observation F51 tracklet 10.7 y from the orbit epoch fits jointly with the object's whole published record at 0.092313"" (baseline 0.053724"") with every observation used (4/4); coarse separation 130.6"" inside a 1927.7"" gate; extends the published arc by 3571 d."
133,B,"single tracklet, caveat-free",2025 MO201,1,P10nRga@F51/n57277,F51,3,3566.1,-10.74,0.13559,0.12735,,"strict=Y published=Y tracklet-used=3/3 sep=65.8""/gate=1942.9""",clean,none,M8,STILL_LIVE,clean,lk3476d7e8eec28918,"3-observation F51 tracklet 10.7 y from the orbit epoch fits jointly with the object's whole published record at 0.13559"" (baseline 0.12735"") with every observation used (3/3); coarse separation 65.8"" inside a 1942.9"" gate; extends the published arc by 3566 d."
134,B,"single tracklet, caveat-free",2025 NB128,1,H393748@T09/n57305,T09,3,3552.7,-10.66,0.10855,0.092054,,"strict=Y published=Y tracklet-used=3/3 sep=129.2""/gate=1927.2""","nearest other 135.537""",none,M9-extension,STILL_LIVE,clean,lk2a708e78d14c8355,"3-observation T09 tracklet 10.7 y from the orbit epoch fits jointly with the object's whole published record at 0.10855"" (baseline 0.092054"") with every observation used (3/3); coarse separation 129.2"" inside a 1927.2"" gate; extends the published arc by 3553 d."
135,B,"single tracklet, caveat-free",2025 QY145,1,P10pIor@F51/n57359,F51,2,3544.8,-10.52,0.061393,0.05899,,"strict=Y published=Y tracklet-used=2/2 sep=29.7""/gate=429.9""",clean,none,M9-extension,STILL_LIVE,clean,lk0cefdfe37c2d5ea3,"2-observation F51 tracklet 10.5 y from the orbit epoch fits jointly with the object's whole published record at 0.061393"" (baseline 0.05899"") with every observation used (2/2); coarse separation 29.7"" inside a 429.9"" gate; extends the published arc by 3545 d."
136,B,"single tracklet, caveat-free",2025 OD62,1,H373449@T09/n57336,T09,3,3539.0,-10.58,0.071331,0.059459,,"strict=Y published=Y tracklet-used=3/3 sep=97.0""/gate=1910.1""","nearest other 342.671""",none,M9-extension,STILL_LIVE,clean,lk23285b94901fe8d2,"3-observation T09 tracklet 10.6 y from the orbit epoch fits jointly with the object's whole published record at 0.071331"" (baseline 0.059459"") with every observation used (3/3); coarse separation 97.0"" inside a 1910.1"" gate; extends the published arc by 3539 d."
137,B,"single tracklet, caveat-free",2025 MR102,1,H404690@T09/n57309,T09,6,3537.8,-10.65,0.049555,0.051963,,"strict=Y published=Y tracklet-used=6/6 sep=22.6""/gate=1925.1""",clean,none,M8,STILL_LIVE,clean,lk30022beb6241c0d9,"6-observation T09 tracklet 10.7 y from the orbit epoch fits jointly with the object's whole published record at 0.049555"" (baseline 0.051963"") with every observation used (6/6); coarse separation 22.6"" inside a 1925.1"" gate; extends the published arc by 3538 d."
138,B,"single tracklet, caveat-free",2025 MB230,1,H325389@T09/n57332,T09,4,3514.8,-10.59,0.05125,0.040645,,"strict=Y published=Y tracklet-used=4/4 sep=72.3""/gate=1912.3""","nearest other 196.452""",none,M8,STILL_LIVE,clean,lk0d5e102ddc9d543e,"4-observation T09 tracklet 10.6 y from the orbit epoch fits jointly with the object's whole published record at 0.05125"" (baseline 0.040645"") with every observation used (4/4); coarse separation 72.3"" inside a 1912.3"" gate; extends the published arc by 3515 d."
139,B,"single tracklet, caveat-free",2025 MN257,1,H327979@T09/n57334,T09,3,3512.8,-10.58,0.051472,0.045781,,"strict=Y published=Y tracklet-used=3/3 sep=86.7""/gate=1911.2""",clean,none,M8,STILL_LIVE,clean,lke74486aa61930474,"3-observation T09 tracklet 10.6 y from the orbit epoch fits jointly with the object's whole published record at 0.051472"" (baseline 0.045781"") with every observation used (3/3); coarse separation 86.7"" inside a 1911.2"" gate; extends the published arc by 3513 d."
140,B,"single tracklet, caveat-free",2025 QH119,1,H448221@T09/n57396,T09,3,3507.6,-10.41,0.14016,0.1208,,"strict=Y published=Y tracklet-used=3/3 sep=129.9""/gate=1876.8""","nearest other 92.827""",none,M9-extension,STILL_LIVE,clean,lk1b50692e4741e907,"3-observation T09 tracklet 10.4 y from the orbit epoch fits jointly with the object's whole published record at 0.14016"" (baseline 0.1208"") with every observation used (3/3); coarse separation 129.9"" inside a 1876.8"" gate; extends the published arc by 3508 d."
141,B,"single tracklet, caveat-free",2025 NF172,1,P10pZON@F51/n57364,F51,3,3493.8,-10.5,0.097038,0.08072,,"strict=Y published=Y tracklet-used=3/3 sep=42.2""/gate=1894.6""",clean,none,M8,STILL_LIVE,clean,lk329f9494479184eb,"3-observation F51 tracklet 10.5 y from the orbit epoch fits jointly with the object's whole published record at 0.097038"" (baseline 0.08072"") with every observation used (3/3); coarse separation 42.2"" inside a 1894.6"" gate; extends the published arc by 3494 d."
142,B,"single tracklet, caveat-free",2025 MZ224,1,H328180@T09/n57399,T09,3,3448.0,-10.41,0.056851,0.051139,,"strict=Y published=Y tracklet-used=3/3 sep=73.7""/gate=1875.3""",clean,none,M8,STILL_LIVE,clean,lkb39dda4371942de9,"3-observation T09 tracklet 10.4 y from the orbit epoch fits jointly with the object's whole published record at 0.056851"" (baseline 0.051139"") with every observation used (3/3); coarse separation 73.7"" inside a 1875.3"" gate; extends the published arc by 3448 d."
143,B,"single tracklet, caveat-free",2025 QQ194,1,N545032@W84/n57475,W84,3,3429.1,-10.2,0.10311,0.10477,,"strict=Y published=Y tracklet-used=3/3 sep=124.9""/gate=1833.3""","nearest other 346.538""",none,M9-extension,STILL_LIVE,clean,lk074c2bea9e8424af,"3-observation W84 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.10311"" (baseline 0.10477"") with every observation used (3/3); coarse separation 124.9"" inside a 1833.3"" gate; extends the published arc by 3429 d."
144,B,"single tracklet, caveat-free",2025 PS88,1,N547251@W84/n57475,W84,4,3399.2,-10.2,0.052023,0.048921,,"strict=Y published=Y tracklet-used=4/4 sep=39.2""/gate=1833.3""","nearest other 179.851""",none,M8,STILL_LIVE,clean,lk2db51d1fd0979af7,"4-observation W84 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.052023"" (baseline 0.048921"") with every observation used (4/4); coarse separation 39.2"" inside a 1833.3"" gate; extends the published arc by 3399 d."
145,B,"single tracklet, caveat-free",2025 MK203,1,N559164@W84/n57476,W84,3,3371.2,-10.2,0.049472,0.048696,,"strict=Y published=Y tracklet-used=3/3 sep=23.5""/gate=1832.7""",clean,none,M8,STILL_LIVE,clean,lk4ed6a7434704a99b,"3-observation W84 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.049472"" (baseline 0.048696"") with every observation used (3/3); coarse separation 23.5"" inside a 1832.7"" gate; extends the published arc by 3371 d."
146,B,"single tracklet, caveat-free",2025 ME283,1,P10uf5C@F51/n57479,F51,3,3367.8,-10.19,0.11203,0.075545,,"strict=Y published=Y tracklet-used=3/3 sep=121.2""/gate=1830.9""","nearest other 291.844""",none,M9-extension,STILL_LIVE,clean,lkb3046dd6c1e67cb9,"3-observation F51 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.11203"" (baseline 0.075545"") with every observation used (3/3); coarse separation 121.2"" inside a 1830.9"" gate; extends the published arc by 3368 d."
147,B,"single tracklet, caveat-free",2025 PV108,1,N381474@W84/n57511,W84,5,3363.0,-10.1,0.11688,0.1139,,"strict=Y published=Y tracklet-used=5/5 sep=143.6""/gate=1813.2""","nearest other 203.502""",none,M9-extension,STILL_LIVE,clean,lk70f2cd20ea177742,"5-observation W84 tracklet 10.1 y from the orbit epoch fits jointly with the object's whole published record at 0.11688"" (baseline 0.1139"") with every observation used (5/5); coarse separation 143.6"" inside a 1813.2"" gate; extends the published arc by 3363 d."
148,B,"single tracklet, caveat-free",2025 MF154,1,P10uHfL@F51/n57488,F51,4,3358.8,-10.16,0.055331,0.050073,,"strict=Y published=Y tracklet-used=4/4 sep=35.5""/gate=1825.9""",clean,none,M8,STILL_LIVE,clean,lk75ea7956c45bd55f,"4-observation F51 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.055331"" (baseline 0.050073"") with every observation used (4/4); coarse separation 35.5"" inside a 1825.9"" gate; extends the published arc by 3359 d."
149,B,"single tracklet, caveat-free",2025 MP273,1,N353650@W84/n57509,W84,5,3338.0,-10.1,0.077811,0.083266,,"strict=Y published=Y tracklet-used=5/5 sep=40.5""/gate=1814.4""",clean,none,M8,STILL_LIVE,clean,lkb65ba39d25c28117,"5-observation W84 tracklet 10.1 y from the orbit epoch fits jointly with the object's whole published record at 0.077811"" (baseline 0.083266"") with every observation used (5/5); coarse separation 40.5"" inside a 1814.4"" gate; extends the published arc by 3338 d."
150,B,"single tracklet, caveat-free",2025 HK67,1,H463603@T09/n57463,T09,4,3329.6,-10.23,0.062212,0.061552,,"strict=Y published=Y tracklet-used=4/4 sep=15.0""/gate=1839.7""","nearest other 300.139""",none,M8,STILL_LIVE,clean,lk563c064f1c3ae1ef,"4-observation T09 tracklet 10.2 y from the orbit epoch fits jointly with the object's whole published record at 0.062212"" (baseline 0.061552"") with every observation used (4/4); coarse separation 15.0"" inside a 1839.7"" gate; extends the published arc by 3330 d."
151,B,"single tracklet, caveat-free",2026 EM28,1,H302076@T09/n57786,T09,3,3326.7,-9.35,0.060903,0.048226,,"strict=Y published=Y tracklet-used=3/3 sep=11.7""/gate=1687.6""","nearest other 297.262""",none,M8,STILL_LIVE,clean,lk12a38d63458812a8,"3-observation T09 tracklet 9.3 y from the orbit epoch fits jointly with the object's whole published record at 0.060903"" (baseline 0.048226"") with every observation used (3/3); coarse separation 11.7"" inside a 1687.6"" gate; extends the published arc by 3327 d."
152,B,"single tracklet, caveat-free",2025 NR491,1,P10vudp@F51/n57544,F51,3,3319.9,-10.01,0.060303,0.043593,,"strict=Y published=Y tracklet-used=3/3 sep=54.3""/gate=1794.9""","nearest other 16.346""",none,M9-partitions,STILL_LIVE,clean,lked8d131b71f3f301,"3-observation F51 tracklet 10.0 y from the orbit epoch fits jointly with the object's whole published record at 0.060303"" (baseline 0.043593"") with every observation used (3/3); coarse separation 54.3"" inside a 1794.9"" gate; extends the published arc by 3320 d."
153,B,"single tracklet, caveat-free",2025 NV403,1,P10vw9x@F51/n57546,F51,3,3318.8,-10.0,0.086583,0.075333,,"strict=Y published=Y tracklet-used=3/3 sep=9.2""/gate=1793.8""","nearest other 243.904""",none,M9-partitions,STILL_LIVE,clean,lk4a43a0f7c25a3605,"3-observation F51 tracklet 10.0 y from the orbit epoch fits jointly with the object's whole published record at 0.086583"" (baseline 0.075333"") with every observation used (3/3); coarse separation 9.2"" inside a 1793.8"" gate; extends the published arc by 3319 d."
154,B,"single tracklet, caveat-free",2025 MA340,1,P10vsXj@F51/n57544,F51,3,3302.9,-10.01,0.064206,0.028877,,"strict=Y published=Y tracklet-used=3/3 sep=51.0""/gate=1794.9""","nearest other 164.129""",none,M8,STILL_LIVE,clean,lkf80753b14179c8b9,"3-observation F51 tracklet 10.0 y from the orbit epoch fits jointly with the object's whole published record at 0.064206"" (baseline 0.028877"") with every observation used (3/3); coarse separation 51.0"" inside a 1794.9"" gate; extends the published arc by 3303 d."
155,B,"single tracklet, caveat-free",2025 MT205,1,H341654@T09/n57544,T09,3,3302.9,-10.01,0.063329,0.048441,,"strict=Y published=Y tracklet-used=3/3 sep=128.2""/gate=1794.9""","nearest other 223.56""",none,M9-extension,STILL_LIVE,clean,lk1ff5dc964c106dd8,"3-observation T09 tracklet 10.0 y from the orbit epoch fits jointly with the object's whole published record at 0.063329"" (baseline 0.048441"") with every observation used (3/3); coarse separation 128.2"" inside a 1794.9"" gate; extends the published arc by 3303 d."
156,B,"single tracklet, caveat-free",2025 PV44,1,P10wmO4@F51/n57607,F51,4,3294.7,-9.84,0.083655,0.075889,,"strict=Y published=Y tracklet-used=4/4 sep=147.1""/gate=1766.7""",clean,none,M9-extension,STILL_LIVE,clean,lkdfa81121618d84f1,"4-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.083655"" (baseline 0.075889"") with every observation used (4/4); coarse separation 147.1"" inside a 1766.7"" gate; extends the published arc by 3295 d."
157,B,"single tracklet, caveat-free",2025 PG211,1,P10woaf@F51/n57607,F51,2,3278.0,-9.84,0.065767,0.065335,,"strict=Y published=Y tracklet-used=2/2 sep=89.1""/gate=1766.7""","nearest other 353.709""",none,M9-extension,STILL_LIVE,clean,lk2b552e064d122566,"2-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.065767"" (baseline 0.065335"") with every observation used (2/2); coarse separation 89.1"" inside a 1766.7"" gate; extends the published arc by 3278 d."
158,B,"single tracklet, caveat-free",2025 OB729,1,P10wc80@F51/n57602,F51,4,3274.6,-9.85,0.11428,0.11103,,"strict=Y published=Y tracklet-used=4/4 sep=17.5""/gate=1768.9""","nearest other 257.08""",none,M9-partitions,STILL_LIVE,clean,lk0ffa69ce0c3b5633,"4-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.11428"" (baseline 0.11103"") with every observation used (4/4); coarse separation 17.5"" inside a 1768.9"" gate; extends the published arc by 3275 d."
159,B,"single tracklet, caveat-free",2025 PP23,1,G04183@309/n57607,309,9,3267.1,-9.84,0.068695,0.068518,,"strict=Y published=Y tracklet-used=9/9 sep=8.1""/gate=1766.8""","nearest other 42.414""",none,M8,STILL_LIVE,clean,lkd00466a71453d1a0,"9-observation 309 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.068695"" (baseline 0.068518"") with every observation used (9/9); coarse separation 8.1"" inside a 1766.8"" gate; extends the published arc by 3267 d."
160,B,"single tracklet, caveat-free",2025 QG63,1,P10wsCi@F51/n57608,F51,3,3257.9,-9.83,0.12264,0.12877,,"strict=Y published=Y tracklet-used=3/3 sep=9.8""/gate=208.0""","nearest other 98.123""",none,M8,STILL_LIVE,clean,lk699bd2f85d081cdc,"3-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.12264"" (baseline 0.12877"") with every observation used (3/3); coarse separation 9.8"" inside a 208.0"" gate; extends the published arc by 3258 d."
161,B,"single tracklet, caveat-free",2025 NT33,1,P10w857@F51/n57601,F51,3,3256.8,-9.85,0.061057,0.030001,,"strict=Y published=Y tracklet-used=3/3 sep=33.3""/gate=1769.4""","nearest other 215.625""",none,M8,STILL_LIVE,clean,lkeda62afb8d1a00b2,"3-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.061057"" (baseline 0.030001"") with every observation used (3/3); coarse separation 33.3"" inside a 1769.4"" gate; extends the published arc by 3257 d."
162,B,"single tracklet, caveat-free",2025 MK280,1,P10weA6@F51/n57603,F51,3,3243.8,-9.85,0.11615,0.11211,,"strict=Y published=Y tracklet-used=3/3 sep=118.0""/gate=1768.5""","nearest other 211.031""",none,M9-extension,STILL_LIVE,clean,lk74947221d4204083,"3-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.11615"" (baseline 0.11211"") with every observation used (3/3); coarse separation 118.0"" inside a 1768.5"" gate; extends the published arc by 3244 d."
163,B,"single tracklet, caveat-free",2025 MM111,1,P10wf3z@F51/n57603,F51,4,3243.8,-9.85,0.11708,0.10767,,"strict=Y published=Y tracklet-used=4/4 sep=131.1""/gate=1768.5""","nearest other 133.029""",none,M9-extension,STILL_LIVE,clean,lkec88c6f5037a052e,"4-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.11708"" (baseline 0.10767"") with every observation used (4/4); coarse separation 131.1"" inside a 1768.5"" gate; extends the published arc by 3244 d."
164,B,"single tracklet, caveat-free",2025 MN172,1,P10wf2c@F51/n57603,F51,4,3243.8,-9.85,0.082823,0.065415,,"strict=Y published=Y tracklet-used=4/4 sep=13.7""/gate=1768.5""","nearest other 170.745""",none,M8,STILL_LIVE,clean,lk3014e666942176f0,"4-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.082823"" (baseline 0.065415"") with every observation used (4/4); coarse separation 13.7"" inside a 1768.5"" gate; extends the published arc by 3244 d."
165,B,"single tracklet, caveat-free",2025 OQ105,1,XRB79EB@G96/n57641,G96,4,3233.1,-9.74,0.14219,0.059323,,"strict=Y published=Y tracklet-used=4/4 sep=50.6""/gate=1751.7""","nearest other 240.059""",none,M8,STILL_LIVE,clean,lkc130a753ca41be79,"4-observation G96 tracklet 9.7 y from the orbit epoch fits jointly with the object's whole published record at 0.14219"" (baseline 0.059323"") with every observation used (4/4); coarse separation 50.6"" inside a 1751.7"" gate; extends the published arc by 3233 d."
166,B,"single tracklet, caveat-free",2025 MO353,1,P10wQKB@F51/n57627,F51,3,3219.8,-9.78,0.044378,0.042334,,"strict=Y published=Y tracklet-used=3/3 sep=99.0""/gate=1757.8""","nearest other 34.407""",none,M9-extension,STILL_LIVE,clean,lk10f1902f59b3af5b,"3-observation F51 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.044378"" (baseline 0.042334"") with every observation used (3/3); coarse separation 99.0"" inside a 1757.8"" gate; extends the published arc by 3220 d."
167,B,"single tracklet, caveat-free",2025 MR356,1,XQA7AC1@G96/n57629,G96,4,3218.0,-9.78,0.22069,0.10645,,"strict=Y published=Y tracklet-used=4/4 sep=23.4""/gate=1757.1""","nearest other 266.151""",none,M8,STILL_LIVE,clean,lka2526105a03c4962,"4-observation G96 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.22069"" (baseline 0.10645"") with every observation used (4/4); coarse separation 23.4"" inside a 1757.1"" gate; extends the published arc by 3218 d."
168,B,"single tracklet, caveat-free",2025 MP156,1,H223959@T09/n57638,T09,4,3208.9,-9.75,0.053198,0.057842,,"strict=Y published=Y tracklet-used=4/4 sep=82.6""/gate=1753.0""","nearest other 190.175""",none,M8,STILL_LIVE,clean,lk6b701b738766e5ea,"4-observation T09 tracklet 9.8 y from the orbit epoch fits jointly with the object's whole published record at 0.053198"" (baseline 0.057842"") with every observation used (4/4); coarse separation 82.6"" inside a 1753.0"" gate; extends the published arc by 3209 d."
169,B,"single tracklet, caveat-free",2025 MH135,1,P10xAO1@F51/n57686,F51,3,3161.8,-9.62,0.068593,0.041051,,"strict=Y published=Y tracklet-used=3/3 sep=72.6""/gate=1731.8""","nearest other 133.61""",none,M8,STILL_LIVE,clean,lk279e514a287220bb,"3-observation F51 tracklet 9.6 y from the orbit epoch fits jointly with the object's whole published record at 0.068593"" (baseline 0.041051"") with every observation used (3/3); coarse separation 72.6"" inside a 1731.8"" gate; extends the published arc by 3162 d."
170,B,"single tracklet, caveat-free",2026 EE116,1,H468468@T09/n57964,T09,5,3147.7,-8.86,0.074444,0.059543,,"strict=Y published=Y tracklet-used=5/5 sep=46.0""/gate=1608.9""","nearest other 147.646""",none,M8,STILL_LIVE,clean,lkffb4b240bf523048,"5-observation T09 tracklet 8.9 y from the orbit epoch fits jointly with the object's whole published record at 0.074444"" (baseline 0.059543"") with every observation used (5/5); coarse separation 46.0"" inside a 1608.9"" gate; extends the published arc by 3148 d."
171,B,"single tracklet, caveat-free",2025 OK143,1,P10z46y@F51/n57781,F51,3,3093.9,-9.36,0.066615,0.066316,,"strict=Y published=Y tracklet-used=3/3 sep=27.8""/gate=383.6""",clean,none,M9-extension,STILL_LIVE,clean,lk0acea4a3115ba1a9,"3-observation F51 tracklet 9.4 y from the orbit epoch fits jointly with the object's whole published record at 0.066615"" (baseline 0.066316"") with every observation used (3/3); coarse separation 27.8"" inside a 383.6"" gate; extends the published arc by 3094 d."
172,B,"single tracklet, caveat-free",2025 MD117,1,P10yOSN@F51/n57779,F51,4,3067.9,-9.37,0.061924,0.041649,,"strict=Y published=Y tracklet-used=4/4 sep=125.6""/gate=1690.7""","nearest other 137.174""",none,M9-extension,STILL_LIVE,clean,lkb448cdf5b343e0ed,"4-observation F51 tracklet 9.4 y from the orbit epoch fits jointly with the object's whole published record at 0.061924"" (baseline 0.041649"") with every observation used (4/4); coarse separation 125.6"" inside a 1690.7"" gate; extends the published arc by 3068 d."
