oid,vet_class,rule,evidence,stratum,channel,gal_b,mag_at_pass,outburst_amp,ptp_mag_60d,ra,dec
ZTF23abiabmy,known_variable,R2b,"140 alerts, dense over three seasons at 17.0-18.7 with no quiescent floor; ATLAS-VS at 0.35 arcsec; Gaia Plx=1.22 mas.",C,A1_cv_outburst,-9.545770723395265,18.662127,-0.72,0.39,291.0073048,-5.0566258
ZTF18abdjpfo,known_variable,R2b,1602 alerts -- one of the most-observed objects in the list -- continuously detected for seven years with no floor; ATLAS-VS class IRR at 0.36 arcsec.,C,A1_cv_outburst,11.870702072618718,17.947998,-0.8,1.19,273.6889447,8.2368118
ZTF20acxmvxu,known_variable,R2b,"239 alerts, slow persistent brightening 19.5 -> 18.5 over 1500 d with repeated excursions and no floor; no clean PSF visible in the difference stamp either.",C,A1_cv_outburst,-24.956459998345142,18.976135,-0.81,0.67,310.4554747,-1.2253218
ZTF19abrqdjs,artifact,R1a,positive lobe at the position with a deep negative lobe immediately to its right; two further dipoles in the same stamp.,C,A1_cv_outburst,-11.30395439695931,18.654444,-0.81,0.29,293.8134571,-3.4196715
ZTF21aapnhfv,known_variable,R2b,"the difference source is ~2 mag FAINTER than the quiescent star it sits on (magnr=17.22 vs magpsf~19.5), i.e. a ~0.14 mag total brightening; 300 days of continuous detection with ~0.6 mag scatter and no floor. Low-amplitude variability, not an outburst -- R3c fails outright.",C,A1_cv_outburst,-17.034931276953117,19.849903,-1.27,0.73,302.5905076,0.9386051
ZTF19abiiveh,known_variable,R2b,38 sparse alerts wandering 18.5-20.4 over seven years with no floor; magnr=17.35 so the excursion is ~0.18 mag on the underlying star. R3c fails.,C,A1_cv_outburst,32.30802623226146,19.166908,-1.28,0.33,247.4588209,2.4352204
ZTF18abbslas,artifact,R1c,"the difference source is a bloated positive blob ringed with negative, several times the width of the other point sources in the stamp, with saturation masks in the corners -- a bright-star residual, not a PSF. ATLAS-VS class IRR at 0.32 arcsec; 331 alerts, persistent.",C,A1_cv_outburst,-2.0253744217061262,15.098709,-1.33,1.36,287.5538787,4.6860544
ZTF19aauabwo,known_variable,R2b,"113 alerts, sparse then 300 days of dense continuous detection at 18.3-19.7 with no floor; magnr=16.53, so the excursion is ~0.2 mag on the star.",C,A1_cv_outburst,18.49556984340773,18.826845,-1.37,0.43,264.6909312,5.1380813
ZTF22aaolizp,known_variable,R2b,"94 alerts, continuously detected at 19.0-19.6 over 1500 d, no floor; magnr=17.41, M1 amplitude -1.42.",C,A1_cv_outburst,5.302224578562515,19.28296,-1.42,0.49,278.8511607,3.8145966
ZTF18abifvxf,known_variable,R2c,"Mira trap: J-K=1.89, BP-RP=5.59, variation over years; 74 r-band alerts wandering 17.8-19.0 across seven years. |b|=2.3 deg.",C,A1_cv_outburst,2.301959812294027,18.432074,-1.42,,277.5845235,-5.198966
ZTF18ablpbnm,known_variable,R2c,"Mira trap: J-K=1.75, BP-RP=5.18, multi-hundred-day timescales; 159 alerts continuous for seven years; ATLAS-VS at 0.47 arcsec; |b|=3.0 deg.",C,A1_cv_outburst,3.026097005675004,17.60872,-1.46,1.16,276.6369282,-5.4415244
ZTF22abwkjwg,known_variable,R2b,"160 alerts pinned at 18.6-19.0 for 1300 d with no floor, plus a single-epoch vertical stripe of alerts at MJD 60500 spanning 0.8 mag.",C,A1_cv_outburst,4.331004424885983,18.791489,-1.48,0.31,283.1083376,10.0183962
ZTF19aattoit,known_variable,R2c,"Mira trap: J-K=1.78, BP-RP=5.05; 43 alerts scattered 18.0-19.5 over seven years. |b|=3.4 deg. No clean difference source visible either.",C,A1_cv_outburst,3.3710097476628214,18.725761,-1.49,0.11,276.2862051,-5.3647736
ZTF20abgcjru,artifact,R1a,deep negative blob immediately left of the position with the positive lobe at the position -- bipolar residual; a second dipole below-right.,C,A1_cv_outburst,22.795400253737604,19.147917,-1.69,,262.3630866,10.1986864
ZTF18ababkvk,artifact,R1a,"positive at the position with a deep negative lobe directly below; further dipoles up-right. 323 alerts, persistent.",C,A1_cv_outburst,3.929983793251445,18.168919,-1.77,0.52,283.2624528,9.4303416
ZTF18ablohbh,artifact,R1a,a dipole sits on the position and the whole stamp is peppered with bipolar residuals -- a globally bad subtraction; a saturation mask in the corner.,C,A1_cv_outburst,6.869673297101515,18.735727,-1.82,0.1,280.001057,9.5749856
ZTF19abhhdhc,undecidable,R4,"no clean PSF visible in the difference stamp, so R3a cannot be confirmed; only 11 alerts over five years, too few for R2b; magnr=17.36 against a difference magnitude of ~19.5, i.e. a ~0.15 mag excursion, so R3c fails as well. The template shows a blended blob at the position. Evidence insufficient either way.",C,A1_cv_outburst,25.92584637446141,19.457735,-2.0,,255.7927434,4.1905867
ZTF18aaxykvr,artifact,R1a,"large positive lobe with a deep negative lobe immediately to its left, plus a very large bipolar complex at the top-left of the stamp. ATLAS-VS at 0.43 arcsec; BP-RP=2.75, J-K=1.27.",C,A1_cv_outburst,7.090253889433163,17.15735,-2.39,,282.5432113,15.0874466
