oid,stratum,ra,dec,gal_b,channel,mag_at_pass,m1_outburst_amp,m1_ptp_60d,n_alerts_total,drb,nbad,fwhm,elong,distnr,magnr,sgscore1,distpsnr1,ndethist,jdstarthist,hist_span_d,ps1_n,ps1_sep,ps1_objID,ps1_gmag,ps1_rmag,ps1_imag,gaia_n,gaia_sep,gaia_DR3Name,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,gaia_BP-RP,gaiavar_n,gaiavar_sep,gaiavar_Class,gaiavar_ClassSc,atlasvs_n,atlasvs_sep,atlasvs_ATOID,atlasvs_Class,atlasvs_fp-lngfitper,2mass_n,2mass_sep,2mass_2MASS,2mass_Jmag,2mass_Hmag,2mass_Kmag,vsx_n,vsx_sep,vsx_Name,vsx_Type,vsx_max,vsx_min,vsx_Period
ZTF18absvftl,C,304.6492495,-2.3760539,-20.42528083761368,A1_cv_outburst,18.108738,0.37,0.37,259,0.92720157,0,1.2439113,1.1584822,0.72138274,15.507999,0.987792,0.7150095,16,2458365.7778935,705.0176273002289,1,0.72,1.0514304649331942e+17,16.4458,15.5318,15.0543,2.0,0.68,Gaia DR3 4223025532938707072,1.7651,0.0349,-7.959,-17.103,15.542568,1.581345,,,,,,,,,,1.0,1.04,20183584-0222328,13.53,12.908,12.736,,,,,,,
ZTF18aazlttw,C,282.8477965,8.9963984,4.099142569629641,A1_cv_outburst,18.307842,0.25,0.28,35,0.99852806,0,2.88,1.0847954,0.36452326,16.757,0.834792,0.3623642,84,2458279.8746991,515.7491782000288,4,0.36,1.1879282847909621e+17,16.6593,14.6959,12.505,3.0,0.37,Gaia DR3 4311127200684027264,0.1082,0.0306,-2.745,-4.276,13.485525,3.737579,,,,,,,,,,1.0,0.35,18512349+0859471,9.574,8.485,8.073,,,,,,,
ZTF19aarybaz,C,283.190682,-5.9405968,-2.9985147898592235,A1_cv_outburst,17.673265,0.14,1.11,83,0.9134195,0,1.4293661,1.2892417,0.70577675,15.287,0.805298,0.66267496,97,2458290.8986574,650.0844212998636,3,0.66,1.0087283190583186e+17,14.8758,13.444,12.711,2.0,0.66,Gaia DR3 4254017295479596928,0.9941,0.0173,4.777,-1.966,13.520431,2.110955,,,,,1.0,0.67,J283.1905-05.9404,IRR,239.563416,1.0,0.82,18524573-0556254,10.596,9.881,9.62,,,,,,,
ZTF18abcjbfn,C,278.8772033,-5.3523687,1.0889056948863678,A1_cv_outburst,17.491186,0.13,1.08,292,0.9422759,0,1.5109862,1.2011719,0.5696666,14.662,1.0,0.49342382,464,2458289.8785764,1023.0355902998708,1,0.49,1.0157278877107771e+17,16.0784,14.5986,13.8307,1.0,0.5,Gaia DR3 4256373995501754624,0.4429,0.0218,-1.845,-0.525,14.42474,2.299767,,,,,1.0,0.49,J278.8771-05.3522,dubious,62.778526,1.0,0.48,18353050-0521081,11.603,10.718,10.475,,,,,,,
ZTF20aawakdv,C,276.6342076,-5.3495497,3.071144738016736,A1_cv_outburst,17.815733,-0.13,0.32,209,0.9199307,0,1.3262303,1.2067736,0.7930577,15.528,1.0,0.7680651,51,2458284.8350926,1138.997117999941,2,0.77,1.015827663416713e+17,15.2693,13.331,12.845,2.0,0.75,Gaia DR3 4257118777212875008,8.7671,0.1967,8.852,-22.094,13.804147,2.221366,,,,,1.0,0.79,J276.6341-05.3493,dubious,474.678833,1.0,1.07,18263218-0520573,11.222,10.453,10.239,,,,,,,
ZTF21aamxwne,C,269.1228687,14.0657749,18.4102933786556,A1_cv_outburst,20.539501,-0.2,0.37,175,0.9999874,0,2.35,1.1222222,0.27492714,19.422,0.992833,0.25540248,8,2459269.0284954,1135.9002429996617,1,0.26,1.248726912279994e+17,19.2889,18.7158,18.8038,1.0,0.25,Gaia DR3 4499817719691364480,-0.0448,0.1968,0.043,-0.303,18.928429,0.725798,,,,,,,,,,,,,,,,,,,,,,
ZTF20aarepnp,C,260.6188823,10.4166928,24.440637746677048,A1_cv_outburst,18.54188,-0.27,0.31,1233,0.9995717,0,1.3345379,1.118797,0.5976046,16.746,0.996458,0.5271879,112,2458487.0610069,428.92415510024875,1,0.53,1.2050260618743064e+17,16.9653,16.1002,15.6313,1.0,0.53,Gaia DR3 4492078124199257472,0.8982,0.0486,-1.052,-12.097,15.995874,1.484469,,,,,,,,,,1.0,0.69,17222850+1025006,14.164,13.615,13.456,,,,,,,
ZTF19aadtsew,C,249.4476035,3.6857508,31.22325706037304,A1_cv_outburst,17.055069,-0.32,0.26,188,0.99009657,0,1.5824425,1.2096317,0.5651522,14.354,0.993875,0.7326318,64,2458504.0142477,1121.9941203999333,1,0.73,1.124224944768031e+17,14.3041,13.9069,13.8237,1.0,0.72,Gaia DR3 4434162861034223744,0.9632,0.0189,-2.469,11.254,13.900866,0.86444,,,,,1.0,0.73,J249.4476+03.6855,dubious,1483.645874,1.0,0.74,16374743+0341079,12.708,12.445,12.36,,,,,,,
ZTF23aagepgc,C,269.6772505,11.1878119,16.712913470358743,A1_cv_outburst,20.397348,-0.35,0.4,230,0.9997163,0,2.05,1.1076443,0.36416063,19.178,0.976,0.41557893,22,2460021.9966551,98.86420139996335,1,0.42,1.2142269677136582e+17,19.6086,19.1021,18.594,1.0,0.42,Gaia DR3 4495085868322546816,0.0311,0.1933,-0.083,0.035,18.924896,1.315212,,,,,,,,,,,,,,,,,,,,,,
ZTF19abbuwnp,C,275.46189,8.472068,10.399923594735402,A1_cv_outburst,20.074972,-0.4,0.47,283,0.99997616,0,1.2764864,1.0931953,0.07087829,18.267,0.981625,0.046352,13,2458658.7751505,779.9378818999976,1,0.05,1.1816275461897698e+17,18.2756,17.5444,17.1939,1.0,0.05,Gaia DR3 4478600615608632832,0.3865,0.0803,-0.019,-4.443,17.500463,1.273418,,,,,,,,,,1.0,0.06,18215085+0828194,15.799,15.302,15.155,,,,,,,
ZTF18abeaikl,C,245.7119925,5.598701,35.40541561086459,A1_cv_outburst,19.865051,-0.45,0.27,381,0.99958855,0,1.5674047,1.1447543,0.49711367,17.775,0.840854,0.4759233,58,2458291.7704167,672.1511111003347,1,0.48,1.147124571187889e+17,18.3677,17.8324,17.33,1.0,0.48,Gaia DR3 4437135459443707904,0.0185,0.0977,-0.116,0.041,17.556526,0.734001,1.0,0.48,AGN,0.9557416,1.0,0.48,J245.7118+05.5986,dubious,481.76239,1.0,0.49,16225084+0535551,16.465,15.629,14.785,,,,,,,
ZTF20acpbjsv,C,267.1905696,3.4586877,15.511833295608456,A1_cv_outburst,20.048716,-0.5,0.33,130,0.9999999,0,3.1,1.1073658,0.47427678,18.81,0.982917,0.4502465,13,2459014.7572801,300.20437499973923,1,0.45,1.1215267190715093e+17,19.8263,18.785,18.1864,1.0,0.44,Gaia DR3 4472213071526334976,-0.1784,0.2009,-2.119,-8.231,18.835154,1.647314,,,,,,,,,,,,,,,,,,,,,,
ZTF23abiabmy,C,291.0073048,-5.0566258,-9.545770723395265,A1_cv_outburst,18.662127,-0.72,0.39,140,0.99993086,0,2.31,1.0921348,0.41470733,16.383,0.907095,0.33770162,122,2459156.6014815,1075.1018980997615,1,0.34,1.019329100734826e+17,16.2367,15.3524,14.8658,1.0,0.33,Gaia DR3 4211555702526139008,1.215,0.0434,0.646,-2.327,15.367721,1.588747,,,,,1.0,0.35,J291.0073-05.0565,dubious,7.291154,1.0,0.45,19240176-0503234,13.224,12.647,12.502,,,,,,,
ZTF18abdjpfo,C,273.6889447,8.2368118,11.870702072618718,A1_cv_outburst,17.947998,-0.8,1.19,1602,0.99310976,0,2.35,1.2444062,0.39779654,16.019001,0.987292,0.3455407,196,2458320.7732986,652.1643633996136,1,0.35,1.1788273688920475e+17,17.495,16.5543,15.9588,1.0,0.33,Gaia DR3 4481275147583149056,0.2401,0.0507,-2.274,-9.314,16.269108,1.716149,,,,,1.0,0.36,J273.6889+08.2369,IRR,20.265675,1.0,0.56,18144535+0814130,13.924,13.224,12.968,,,,,,,
ZTF20acxmvxu,C,310.4554747,-1.2253218,-24.956459998345142,A1_cv_outburst,18.976135,-0.81,0.67,239,0.99369586,0,1.8424494,1.1132076,0.27766743,16.616,0.97897,0.22763973,24,2459198.5892708,691.1034723003395,1,0.23,1.0653310455421008e+17,17.3146,16.6401,16.3155,1.0,0.25,Gaia DR3 4226249713346440704,0.6111,0.0612,-6.955,-7.712,16.65193,1.266754,,,,,,,,,,1.0,0.19,20414930-0113310,15.06,14.442,14.508,,,,,,,
ZTF19abrqdjs,C,293.8134571,-3.4196715,-11.30395439695931,A1_cv_outburst,18.654444,-0.81,0.29,145,0.99422085,0,1.3130693,1.289823,0.6088997,15.618,0.989583,0.50776416,24,2458433.5723727,1652.3073841999285,1,0.51,1.03892938133937e+17,15.6045,14.779,14.3362,1.0,0.51,Gaia DR3 4213686452980176128,1.3192,0.0408,0.01,-6.38,14.74837,1.437168,,,,,,,,,,1.0,0.58,19351521-0325102,12.905,12.4,12.263,,,,,,,
ZTF21aapnhfv,C,302.5905076,0.9386051,-17.034931276953117,A1_cv_outburst,19.849903,-1.27,0.73,88,0.99855816,0,1.3321695,1.1140109,0.45803824,17.219,0.976726,0.54709435,7,2459137.6665278,303.08761569997296,1,0.55,1.0912302590472662e+17,17.252,16.5833,16.2012,1.0,0.54,Gaia DR3 4236739187418588544,0.8551,0.0576,-2.839,3.69,16.533937,1.295034,,,,,,,,,,1.0,0.48,20102171+0056185,14.943,14.338,14.24,,,,,,,
ZTF19abiiveh,C,247.4588209,2.4352204,32.30802623226146,A1_cv_outburst,19.166908,-1.28,0.33,38,0.9999436,0,1.5234739,1.0880713,0.34950152,17.352001,0.9975,0.43256173,75,2458487.0614815,2671.898831000086,1,0.43,1.1092247458728264e+17,17.2164,16.4392,16.122,1.0,0.42,Gaia DR3 4433231987002326784,0.7668,0.0569,3.65,0.976,16.489559,1.365238,,,,,,,,,,1.0,0.52,16295008+0226064,14.752,14.155,14.108,,,,,,,
ZTF18abbslas,C,287.5538787,4.6860544,-2.0253744217061262,A1_cv_outburst,15.098709,-1.33,1.36,331,0.9880558,0,2.29,1.0696821,0.27179322,13.686,1.0,0.31642833,837,2458246.9640741,2870.06424769992,1,0.32,1.1362287553816374e+17,15.1471,13.6388,12.795,1.0,0.31,Gaia DR3 4293371943307153280,0.6808,0.0159,-1.517,-3.554,13.46384,2.160724,,,,,1.0,0.32,J287.5537+04.6860,IRR,50.00478,1.0,0.36,19101290+0441098,10.699,9.882,9.623,,,,,,,
ZTF19aauabwo,C,264.6909312,5.1380813,18.49556984340773,A1_cv_outburst,18.826845,-1.37,0.43,113,0.99746054,0,1.4941736,1.1116625,0.30268753,16.525,1.0,0.35676476,35,2458608.9208681,1929.8282290999778,1,0.36,1.1416264691043614e+17,17.6387,16.7815,16.2016,1.0,0.35,Gaia DR3 4485621551405045888,1.247,0.0613,-5.423,6.525,16.559647,1.580612,,,,,,,,,,1.0,0.49,17384585+0508170,14.614,13.883,13.775,,,,,,,
ZTF22aaolizp,C,278.8511607,3.8145966,5.302224578562515,A1_cv_outburst,19.28296,-1.42,0.49,94,0.99820864,0,1.2590507,1.2470356,0.582965,17.41,0.96875,0.42854717,7,2459748.8375,434.85265049990267,1,0.43,1.125727885108281e+17,18.8212,17.4674,16.6915,1.0,0.43,Gaia DR3 4283168127489057792,0.6589,0.1246,-1.067,-2.917,17.285347,2.098549,,,,,,,,,,1.0,0.45,18352425+0348528,14.665,14.106,13.866,,,,,,,
ZTF18abifvxf,C,277.5845235,-5.198966,2.301959812294027,A1_cv_outburst,18.432074,-1.42,,74,0.99933404,0,1.3118664,1.1595745,0.33208722,16.352,0.544548,0.34972078,59,2458318.837662,1202.8080209000036,2,0.35,1.0176277584614168e+17,19.5429,16.8576,13.272,1.0,0.38,Gaia DR3 4257186019195887744,0.0161,0.0887,-0.093,-1.231,14.230551,5.593069,,,,,,,,,,1.0,0.3,18302030-0511561,9.101,7.777,7.21,,,,,,,
ZTF18ablpbnm,C,276.6369282,-5.4415244,3.026097005675004,A1_cv_outburst,17.60872,-1.46,1.16,159,0.9999999,0,2.39,1.2330558,0.38833413,15.32,0.5,0.41160545,283,2458332.7303241,1009.2099768002518,3,0.41,1.0147276636813064e+17,18.2113,15.8461,12.661,1.0,0.37,Gaia DR3 4257106029749836032,0.3681,0.0735,1.802,0.268,13.495607,5.182833,,,,,1.0,0.47,J276.6368-05.4414,dubious,25.189386,1.0,0.65,18263282-0526293,8.737,7.508,6.984,,,,,,,
ZTF22abwkjwg,C,283.1083376,10.0183962,4.331004424885983,A1_cv_outburst,18.791489,-1.48,0.31,160,0.99905014,0,1.2603041,1.216443,0.24150752,16.792,1.0,0.24706137,10,2458734.8277546,1510.8259954000823,1,0.25,1.2002283108312248e+17,18.2951,16.9041,16.0445,1.0,0.25,Gaia DR3 4311530545331499648,1.7714,0.0598,-0.867,-3.356,16.630013,2.233992,,,,,,,,,,1.0,0.19,18522599+1001060,14.048,13.384,13.104,,,,,,,
ZTF19aattoit,C,276.2862051,-5.3647736,3.3710097476628214,A1_cv_outburst,18.725761,-1.49,0.11,43,0.999953,0,1.5714289,1.1461039,0.29795295,16.692,0.977083,0.28249344,121,2458575.9594676,2132.1042129998095,2,0.28,1.015627628614427e+17,19.4588,17.077,14.4275,3.0,0.3,Gaia DR3 4161232464099101440,-0.2237,0.1008,-2.031,-5.161,14.95747,5.05291,,,,,,,,,,1.0,0.27,18250867-0521531,10.288,9.041,8.504,,,,,,,
ZTF20abgcjru,C,262.3630866,10.1986864,22.795400253737604,A1_cv_outburst,19.147917,-1.69,,17,0.9392792,0,1.2565401,1.137255,0.5270224,17.248,0.99125,0.4195359,199,2459017.7987847,2183.0844559995458,1,0.42,1.2023262362970896e+17,18.0747,17.2163,16.7609,1.0,0.42,Gaia DR3 4491167247535879680,0.002,0.0737,-0.52,-3.253,17.274557,1.518276,,,,,,,,,,1.0,0.57,17292710+1011553,15.251,14.594,14.616,,,,,,,
ZTF18ababkvk,C,283.2624528,9.4303416,3.929983793251445,A1_cv_outburst,18.168919,-1.77,0.52,323,0.9998869,0,1.4037302,1.1643258,0.5561254,15.69,0.892333,0.48799923,57,2458281.8800463,1014.1239467998967,1,0.49,1.1931283262344704e+17,17.3583,15.816,15.0492,1.0,0.49,Gaia DR3 4311242752490312064,0.3961,0.0368,1.428,-2.121,15.585454,2.250518,,,,,,,,,,1.0,0.6,18530295+0925496,12.907,12.136,11.889,,,,,,,
ZTF18ablohbh,C,280.001057,9.5749856,6.869673297101515,A1_cv_outburst,18.735727,-1.82,0.1,49,0.9554602,0,1.1679741,1.2095238,0.038310885,16.311,0.981083,0.08301398,104,2458334.7889005,2874.085115700029,1,0.08,1.1949280001067043e+17,16.97,16.2814,16.0226,1.0,0.08,Gaia DR3 4479623608104388864,0.3195,0.1061,-1.035,-6.776,16.329374,1.236767,,,,,,,,,,1.0,0.09,18400025+0934298,14.662,14.205,14.358,,,,,,,
ZTF19abhhdhc,C,255.7927434,4.1905867,25.92584637446141,A1_cv_outburst,19.457735,-2.0,,11,0.99998546,0,1.3202643,1.2919254,0.4256305,17.355,0.996667,0.44173634,85,2458599.7878588,1725.270833299961,1,0.44,1.1302255792890922e+17,18.4004,17.4318,16.902,1.0,0.43,Gaia DR3 4391514694778556672,0.6593,0.0838,-6.493,-1.818,17.359459,1.62081,,,,,,,,,,1.0,0.54,17031029+0411261,15.341,14.684,14.424,,,,,,,
ZTF18aaxykvr,C,282.5432113,15.0874466,7.090253889433163,A1_cv_outburst,17.15735,-2.39,,42,0.97127986,0,1.2590507,1.136876,0.2926605,13.778999,0.980208,0.39959744,235,2458273.8805093,2221.84064809978,2,0.4,1.2610282543157542e+17,15.6166,13.428,12.567,2.0,0.42,Gaia DR3 4507482144684501376,0.1004,0.0169,-3.847,-4.523,13.422881,2.749027,,,,,1.0,0.43,J282.5433+15.0874,dubious,23.246292,1.0,0.42,18501039+1505147,10.178,9.254,8.911,,,,,,,
