rank_score,oid,STATUS,arm,ra,dec,gal_b,channel,reason,mag_at_pass,band_at_pass,amp,ptp_band,n_outburst_episodes,brightest_ever_mag,hist_span_days,neg_frac,n_neg,n_conf,n_clean,n_alerts,ndethist,drb,sgscore1,distpsnr1,distnr,magnr,gaia_DR3Name,gaia_Gmag,gaia_Plx,gaia_BP-RP,JK,gaiavar_Class,vsx_Name,vsx_Type,vsx_sep,atlasvs_Class,atlasvs_sep,ps1_sep,flag_vsx,flag_gcvs,flag_known_cv,flag_simbad,simbad,tns_nearest,tns_sep_arcsec,probably,outburst_history,fink_link,first_pass_jd,stratum,tier,outburst_amp,ptp_mag_60d
0.381,ZTF19aarylmv,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,262.6073866,-1.9150964,17.01728504448779,A1_cv_outburst,"outburst on a PS1 point source 0.17"" away",17.713104,r,4.671,1.026,12,17.71,2668.77,0.0,0.0,11.0,11,11,78.0,0.99999774,0.5,0.17184399,2.4718208,20.268,Gaia DR3 4370116789755440256,20.534546,-1.2133,1.1775,,,Gaia17bdh,UG:,0.15,,,0.17,UG:,,VSX:UG:,,Unknown,AT 2026aup,3671.96,"a point source has brightened by 4.7 mag above its quiescent level at |b| = 17.0 deg, now at mag 17.7, varying 1.03 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=20.534546).",MJD 59697.4-59700.5 peak 17.94 (3 det) | MJD 59985.5-59985.5 peak 18.76 (1 det) | MJD 60058.4-60058.4 peak 18.94 (1 det) | MJD 60125.3-60125.4 peak 19.06 (2 det) | MJD 60441.4-60449.4 peak 17.88 (8 det) | MJD 60536.2-60536.2 peak 18.53 (2 det) | MJD 60732.5-60744.5 peak 17.87 (5 det) | MJD 61267.2-61276.3 peak 17.71 (11 det),https://fink-portal.org/ZTF19aarylmv,2461267.7121528,M2,M2,4.671,1.026
0.266,ZTF19aafohks,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,268.1301022,2.3266796,14.158666937983725,D_galactic_plane,"|b| = 14.2 deg, extended association 0.03""",19.213451,r,3.122,1.034,13,18.86,3008.81,0.0,0.0,6.0,6,6,109.0,0.9987142,0.449813,0.0335302,0.25087503,21.627,Gaia DR3 4469031776368328320,19.784906,,0.585396,,CV,Gaia DR3 4469031776368328320,UG,0.04,,,0.03,UG,,VSX:UG,,Unknown,AT 2026nfr,3195.09,"in the galactic plane (|b| = 14.2 deg), mag 19.2, varying 1.03 mag peak-to-peak within one band; the survey pipelines report almost nothing from here at any magnitude. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.784906).",MJD 59805.2-59805.2 peak 19.20 (2 det) | MJD 60032.4-60032.4 peak 19.55 (1 det) | MJD 60182.2-60184.2 peak 19.00 (3 det) | MJD 60459.4-60468.4 peak 19.10 (6 det) | MJD 60561.2-60561.2 peak 19.76 (1 det) | MJD 60822.4-60828.3 peak 19.17 (4 det) | MJD 61175.4-61179.4 peak 19.71 (5 det) | MJD 61270.2-61276.2 peak 18.92 (6 det),https://fink-portal.org/ZTF19aafohks,2461271.6702894,M2,M2,3.122,1.034
0.254,ZTF21abfxngg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,339.1828991,-20.5391305,-58.597903388948566,A1_cv_outburst,"outburst on a PS1 point source 0.22"" away",19.608301,r,1.366,0.416,8,19.33,2532.94,0.0,0.0,43.0,40,43,722.0,0.9880878,0.969167,0.21705107,0.07054491,20.619,Gaia DR3 2400803086861140352,20.611341,-0.3608,0.448648,,,,,,,,0.22,,,,,Unknown,AT 2025akwl,544.83,"a point source has brightened by 1.4 mag above its quiescent level at |b| = 58.6 deg, now at mag 19.6, varying 0.42 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.611341).",MJD 59377.4-59488.2 peak 20.09 (6 det) | MJD 59523.1-59550.1 peak 19.55 (10 det) | MJD 59755.4-59898.2 peak 19.33 (60 det) | MJD 60111.4-60284.2 peak 19.52 (54 det) | MJD 60491.4-60604.2 peak 19.75 (11 det) | MJD 60637.1-60640.1 peak 19.94 (2 det) | MJD 60846.4-61021.1 peak 19.47 (75 det) | MJD 61206.5-61275.4 peak 19.38 (44 det),https://fink-portal.org/ZTF21abfxngg,2461227.8738657,M2,M2,1.366,0.416
0.231,ZTF18abmirqr,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,290.3116615,-2.8389403,-7.924776383681518,A1_cv_outburst,"outburst on a PS1 point source 0.01"" away [galactic plane]",18.009369,g,1.827,2.164,12,18.01,2977.83,0.0,0.0,12.0,12,12,986.0,0.99999905,0.928917,0.00877131,0.21926692,19.836,Gaia DR3 4214530121986316288,18.95783,0.4608,0.736731,,,MGAB-V436,UG,0.06,,,0.01,UG,,VSX:UG,,Fail 502,AT 2026tqx,1239.2,"a point source has brightened by 1.8 mag above its quiescent level in the galactic plane (|b| = 7.9 deg), now at mag 18.0, varying 2.16 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=18.95783).",MJD 59674.5-59894.2 peak 18.46 (38 det) | MJD 60054.4-60255.1 peak 18.75 (31 det) | MJD 60354.6-60368.5 peak 18.50 (8 det) | MJD 60404.5-60629.1 peak 18.65 (46 det) | MJD 60725.6-60948.2 peak 18.52 (42 det) | MJD 61105.5-61105.5 peak 19.14 (1 det) | MJD 61148.5-61191.4 peak 18.37 (11 det) | MJD 61238.4-61276.2 peak 18.01 (12 det),https://fink-portal.org/ZTF18abmirqr,2461240.7679398,M2,M2,1.827,2.164
-0.188,ZTF20ackoxkt,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,10.867828,-13.3066601,-76.0534818761098,A1_cv_outburst,"outburst on a PS1 point source 0.16"" away",20.124601,g,1.618,0.329,10,19.8,2187.02,0.0,0.0,17.0,16,17,328.0,0.99846977,1.0,0.15916966,0.10936837,21.414,Gaia DR3 2375973606045137920,20.112438,-0.3721,0.616055,,AGN,,,,,,0.16,,,,,Fail 502,AT 2026xrf,2464.06,"a point source has brightened by 1.6 mag above its quiescent level at |b| = 76.1 deg, now at mag 20.1, varying 0.33 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.112438).",MJD 59819.4-59819.4 peak 20.28 (1 det) | MJD 59850.4-59852.4 peak 20.26 (2 det) | MJD 59937.2-59937.2 peak 20.25 (1 det) | MJD 60144.4-60149.5 peak 20.26 (2 det) | MJD 60586.2-60586.4 peak 20.48 (10 det) | MJD 60904.4-60949.3 peak 19.98 (4 det) | MJD 61021.2-61031.1 peak 20.04 (2 det) | MJD 61240.4-61274.4 peak 19.80 (17 det),https://fink-portal.org/ZTF20ackoxkt,2461240.9431134,M2,M2,1.618,0.329
-0.194,ZTF20abmkdhu,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,329.3054126,-25.8598316,-51.19612575702566,A1_cv_outburst,"outburst on a PS1 point source 0.31"" away",19.611176,r,1.599,0.332,14,19.61,2194.96,0.0,0.0,6.0,6,6,453.0,0.9999972,0.857994,0.31020567,0.25446653,20.448,Gaia DR3 6811930522160792320,20.432322,-0.2543,0.946585,,AGN,,,,,,0.31,,,,,Unknown,AT 2026xnh,1635.26,"a point source has brightened by 1.6 mag above its quiescent level at |b| = 51.2 deg, now at mag 19.6, varying 0.33 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.432322).",MJD 59904.1-59904.1 peak 19.84 (1 det) | MJD 60135.4-60148.4 peak 19.97 (3 det) | MJD 60194.3-60194.3 peak 20.11 (1 det) | MJD 60505.4-60555.4 peak 19.91 (4 det) | MJD 60591.2-60591.2 peak 19.83 (1 det) | MJD 60637.1-60637.1 peak 20.08 (1 det) | MJD 60881.4-60948.2 peak 19.69 (11 det) | MJD 61234.4-61274.4 peak 19.61 (6 det),https://fink-portal.org/ZTF20abmkdhu,2461242.8773843,M2,M2,1.599,0.332
-0.201,ZTF21abjznrj,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,313.3319502,-25.2517427,-37.06545562955306,A1_cv_outburst,"outburst on a PS1 point source 0.18"" away",19.303371,g,1.511,0.389,5,18.98,2543.97,0.0,0.0,57.0,53,57,784.0,0.99984825,0.520167,0.1811745,0.14040071,20.645,Gaia DR3 6805587302142196992,20.482622,-0.599,0.5292,,AGN,,,,,,0.18,,,,,Unknown,AT 2026sov,1349.52,"a point source has brightened by 1.5 mag above its quiescent level at |b| = 37.1 deg, now at mag 19.3, varying 0.39 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.482622).",MJD 59402.4-59527.1 peak 19.61 (30 det) | MJD 59753.4-59867.1 peak 19.73 (18 det) | MJD 60203.2-60238.2 peak 19.71 (10 det) | MJD 60843.4-60989.1 peak 18.98 (139 det) | MJD 61203.4-61275.3 peak 19.13 (63 det),https://fink-portal.org/ZTF21abjznrj,2461217.9177315,M2,M2,1.511,0.389
-0.226,ZTF19abdrtby,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,328.8089774,-10.6513555,-45.47282462776556,A1_cv_outburst,"outburst on a PS1 point source 0.16"" away",19.143017,g,1.434,0.401,11,18.69,2577.94,0.0,0.0,62.0,60,62,1175.0,0.9999993,0.771423,0.15971453,0.09333474,20.508,Gaia DR3 2616937523507708416,19.874119,-0.5258,0.63203,,AGN,,,,,,0.16,,,,,Unknown,AT 2026smu,697.52,"a point source has brightened by 1.4 mag above its quiescent level at |b| = 45.5 deg, now at mag 19.1, varying 0.40 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=19.874119).",MJD 59723.4-59756.5 peak 19.11 (16 det) | MJD 59798.4-59935.1 peak 18.78 (54 det) | MJD 60099.4-60284.2 peak 18.69 (82 det) | MJD 60457.4-60666.1 peak 18.82 (95 det) | MJD 60817.4-60948.2 peak 18.78 (133 det) | MJD 61020.1-61030.1 peak 19.17 (6 det) | MJD 61160.5-61162.5 peak 19.11 (2 det) | MJD 61195.4-61275.3 peak 19.03 (88 det),https://fink-portal.org/ZTF19abdrtby,2461217.8783449,M2,M2,1.434,0.401
-0.24,ZTF20abmrpsq,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,322.3297179,-25.5233083,-44.99197137307839,A1_cv_outburst,"outburst on a PS1 point source 0.27"" away",19.430664,r,1.457,0.355,8,18.79,2469.23,0.0,0.0,23.0,23,23,936.0,0.91848046,0.94375,0.2656523,0.20100719,20.412,Gaia DR3 6815108729240079104,19.851316,0.4346,0.445305,,AGN,,,,,,0.27,,,,,Unknown,AT 2026veh,490.82,"a point source has brightened by 1.5 mag above its quiescent level at |b| = 45.0 deg, now at mag 19.4, varying 0.35 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=19.851316).",MJD 59048.4-59052.4 peak 20.01 (3 det) | MJD 59136.1-59171.1 peak 19.61 (6 det) | MJD 59397.4-59543.1 peak 18.79 (60 det) | MJD 59757.4-59907.1 peak 18.82 (56 det) | MJD 60123.5-60253.2 peak 19.16 (43 det) | MJD 60501.4-60578.2 peak 19.49 (16 det) | MJD 60851.5-60949.2 peak 19.30 (44 det) | MJD 61218.4-61276.4 peak 18.93 (23 det),https://fink-portal.org/ZTF20abmrpsq,2461226.9388657,M2,M2,1.457,0.355
-0.298,ZTF18aafeggh,MATTHEW-GATED -- NOT REPORTED TO TNS,E1_new,115.9169604,11.9315512,16.917890435209642,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away",17.349863,r,3.842,0.33,1,17.35,3085.36,0.0,0.0,4.0,4,4,41.0,0.9999998,0.821827,0.07205678,0.09226165,21.192,Gaia DR3 3151708235156077568,19.618433,,0.487629,,CV,Gaia DR3 3151708235156077568,UG,0.08,,,0.07,UG,,VSX:UG,,Unknown,AT 2025amqf,1827.39,"a point source has brightened by 3.8 mag above its quiescent level at |b| = 16.9 deg, now at mag 17.3, varying 0.33 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.618433).",MJD 61274.5-61275.5 peak 17.35 (4 det),https://fink-portal.org/ZTF18aafeggh,2461276.012419,M2,M2,3.842,0.33
-0.518,ZTF18abmipkc,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,304.8201209,2.2133487,-18.35899000761219,A1_cv_outburst,"outburst on a PS1 point source 0.29"" away",17.858952,r,3.706,2.119,10,17.19,2966.98,0.0,0.0,80.0,79,80,1563.0,1.0,0.844375,0.29427746,0.28857374,19.696,Gaia DR3 4243272348071399168,19.402374,1.7743,0.938036,,CV,ZTF18abmipkc,NL,0.59,,,0.29,NL,,VSX:NL,,Unknown,AT 2025albg,1586.46,"a point source has brightened by 3.7 mag above its quiescent level at |b| = 18.4 deg, now at mag 17.9, varying 2.12 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.402374).",MJD 59137.2-59184.1 peak 18.50 (8 det) | MJD 59269.6-59538.2 peak 17.82 (98 det) | MJD 59670.5-59900.1 peak 17.52 (72 det) | MJD 60082.4-60268.1 peak 17.69 (67 det) | MJD 60374.5-60647.1 peak 17.39 (105 det) | MJD 60728.6-60732.6 peak 18.25 (10 det) | MJD 60772.5-61015.1 peak 17.19 (140 det) | MJD 61094.6-61275.3 peak 17.31 (173 det),https://fink-portal.org/ZTF18abmipkc,2461214.9431019,M2,M2,3.706,2.119
-0.585,ZTF18abifuem,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,278.7576107,1.7821288,4.4627347605576295,A1_cv_outburst,"outburst on a PS1 point source 0.12"" away [galactic plane]",15.48751,r,1.602,0.549,10,14.41,2897.95,0.0,0.0,72.0,58,72,1864.0,0.99014443,1.0,0.11693619,0.15817949,16.176,Gaia DR3 4273830971664255616,15.601647,0.1672,4.026627,1.82,SYST,IPHAS J183501.83+014656.0,ZAND,0.19,dubious,0.12,0.12,ZAND,,VSX:ZAND,,Symbiotic*,AT 2026lck,8054.54,"a point source has brightened by 1.6 mag above its quiescent level in the galactic plane (|b| = 4.5 deg), now at mag 15.5, varying 0.55 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=15.601647). ATLAS variable-star counterpart 0.12"" away (class dubious). VERY RED (J-K > 1, BP-RP > 2) -- the classic Mira false positive; colour-check before doing anything.",MJD 59248.6-59370.4 peak 15.77 (53 det) | MJD 59452.2-59531.1 peak 17.75 (15 det) | MJD 59623.6-59638.5 peak 18.62 (2 det) | MJD 59694.4-59898.1 peak 15.01 (91 det) | MJD 59971.6-60258.1 peak 14.59 (115 det) | MJD 60354.5-60627.1 peak 14.41 (97 det) | MJD 60699.6-60934.2 peak 14.98 (93 det) | MJD 61058.6-61276.3 peak 15.04 (190 det),https://fink-portal.org/ZTF18abifuem,2461216.7912269,M2,M2,1.602,0.549
