set,tns_name,ztf_oid,reporting_groups,obj_type,disc_mag,disc_filter,disc_ut,disc_jd,report_ut,report_jd,report_lag_days,n_alerts_total,n_alerts_pre_cutoff,recovered_pre_report,channel_pre,reason_pre,first_pass_jd,lead_days_vs_report,lead_days_this_episode,recovered_at_discovery_epoch,mag_at_pass,ever_passes,channel_ever,reason_ever,tns_internal_name
DCAP_group195,SN 2026plj,ZTF26abcfeco,"DCAP, GOTO, Fink, ATLAS, Pan-STARRS",SN Ia,20.38,r-ZTF,2026-06-16 04:33:37.000,2461207.690011574,2026-06-17 16:48:26,2461209.200300926,1.51,43,2,True,A2_nova_like,"no PS1 source within 3.0""",2461208.760544,0.44,0.44,False,20.000114,False,,already in TNS: SN Ia,ZTF26abcfeco
DCAP_group195,AT 2026oww,ZTF26abamsxi,DCAP,,19.44,r-ZTF,2026-06-08 09:34:16.000,2461199.898796296,2026-06-11 08:31:56,2461202.8555092593,2.957,11,6,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",ZTF26abamsxi
DCAP_group195,AT 2026mla,ZTF18abuzkad,DCAP,,19.82,r-ZTF,2026-05-13 10:50:28.000,2461173.951712963,2026-05-14 06:29:46,2461174.7706712964,0.819,30,30,True,A1_cv_outburst,"outburst on a PS1 point source 0.09"" away [galactic plane]",2459359.9010185,1814.87,,True,18.400406,True,A1_cv_outburst,"outburst on a PS1 point source 0.09"" away [galactic plane]",DCAP85
DCAP_group195,AT 2026mkz,ZTF19abbykdf,DCAP,,18.98,r-ZTF,2026-05-10 10:25:05.000,2461170.934085648,2026-05-14 06:17:51,2461174.762395833,3.828,32,26,True,A1_cv_outburst,"outburst on a PS1 point source 1.54"" away [galactic plane]",2458964.9791088,2209.783,0.877,True,19.573324,True,A1_cv_outburst,"outburst on a PS1 point source 1.54"" away [galactic plane]",DCAP84
DCAP_group195,AT 2026mky,ZTF22abeyply,DCAP,,19.79,g-ZTF,2026-05-13 09:12:33.000,2461173.883715278,2026-05-14 06:09:17,2461174.756446759,0.873,8,4,True,A1_cv_outburst,"outburst on a PS1 point source 2.37"" away [galactic plane]",2459825.8169329,1348.94,0.803,True,18.915922,True,A1_cv_outburst,"outburst on a PS1 point source 2.37"" away [galactic plane]",DCAP83
DCAP_group195,AT 2026mkx,ZTF19abitqxu,DCAP,,18.11,i-ZTF,2026-05-09 08:14:54.000,2461169.8436805555,2026-05-14 05:58:59,2461174.7492939816,4.906,46,38,True,A1_cv_outburst,"outburst on a PS1 point source 1.70"" away [galactic plane]",2459009.7753356,2164.974,4.865,True,18.661531,True,A1_cv_outburst,"outburst on a PS1 point source 1.70"" away [galactic plane]",DCAP82
DCAP_group195,AT 2026mkw,ZTF19abfxbro,DCAP,,19.71,r-ZTF,2026-05-08 09:35:50.000,2461168.8998842593,2026-05-14 05:32:24,2461174.7308333335,5.831,18,15,True,A1_cv_outburst,"outburst on a PS1 point source 2.49"" away [galactic plane]",2459503.6635069,1671.067,4.832,True,19.268705,True,A1_cv_outburst,"outburst on a PS1 point source 2.49"" away [galactic plane]",DCAP81
DCAP_group195,SN 2026mkv,ZTF26aawilct,"DCAP, ALeRCE, GOTO, ATLAS, BlackGEM, Fink, LAST, Pan-STARRS",SN Ia,20.45,g-ZTF,2026-05-13 06:07:56.000,2461173.755509259,2026-05-14 04:51:08,2461174.702175926,0.947,57,2,False,,clean detections span 0.0188 d < 0.02083 d -- cannot exclude a mover,,,,False,,False,,already in TNS: SN Ia,DCAP80
DCAP_group195,AT 2026mkq,ZTF22aaqhibw,DCAP,,19.93,g-ZTF,2026-05-09 09:11:47.000,2461169.88318287,2026-05-14 03:48:39,2461174.6587847224,4.776,10,10,True,A1_cv_outburst,"outburst on a PS1 point source 2.00"" away [galactic plane]",2460437.8995949,736.759,4.776,True,19.536373,True,A1_cv_outburst,"outburst on a PS1 point source 2.00"" away [galactic plane]",DCAP79
DCAP_group195,SN 2026mkp,ZTF26aawgeks,"DCAP, GOTO, ATLAS, ZTF",SN II,20.49,g-ZTF,2026-05-12 09:03:45.000,2461172.8776041665,2026-05-14 03:40:05,2461174.652835648,1.775,56,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.84"" away",2461173.9415394,0.711,0.711,False,20.282257,False,,already in TNS: SN II,DCAP78
DCAP_group195,SN 2026mko,ZTF26aawjywa,"DCAP, ZTF, Fink, ATLAS, GOTO, Pan-STARRS",SN Ia,20.31,g-ZTF,2026-05-11 09:47:28.000,2461171.907962963,2026-05-14 03:27:44,2461174.644259259,2.736,23,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,already in TNS: SN Ia,DCAP77
DCAP_group195,AT 2026mjy,ZTF26aavbydp,DCAP,,18.5,r-ZTF,2026-05-08 08:44:12.000,2461168.8640277777,2026-05-13 15:28:10,2461174.1445601853,5.281,4,4,True,C_faint_residue,faint residue at mag 20.38,2461173.7550463,0.39,0.39,False,20.378307,True,C_faint_residue,faint residue at mag 20.38,DCAP76
DCAP_group195,SN 2026mjw,ZTF26aauwxfw,DCAP,SN Ia,19.53,g-ZTF,2026-05-07 07:02:18.000,2461167.793263889,2026-05-13 15:15:45,2461174.1359375,6.343,5,5,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP75
DCAP_group195,AT 2026mjv,ZTF26aavkkap,"DCAP, Pan-STARRS, GOTO",,20.47,g-ZTF,2026-05-08 10:26:22.000,2461168.934976852,2026-05-13 15:03:45,2461174.1276041665,5.193,10,2,True,A2_nova_like,"no PS1 source within 3.0""",2461173.8789931,0.249,0.249,False,20.221693,True,A2_nova_like,"no PS1 source within 3.0""",DCAP74
DCAP_group195,AT 2026mju,,"DCAP, ZTF",,17.08,r-ZTF,2026-05-11 10:54:00.000,2461171.9541666666,2026-05-13 14:52:16,2461174.1196296294,2.165,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,DCAP73
DCAP_group195,AT 2026mjt,ZTF26aawgeif,DCAP,,19.07,r-ZTF,2026-05-12 11:24:36.000,2461172.975416667,2026-05-13 14:44:13,2461174.1140393517,1.139,6,2,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461173.9396528,0.174,0.174,False,19.540848,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP72
DCAP_group195,AT 2026mjs,ZTF26aavtfji,DCAP,,18.99,i-ZTF,2026-05-10 09:03:23.000,2461170.877349537,2026-05-13 14:37:45,2461174.109548611,3.232,2,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A1_cv_outburst,"outburst on a PS1 point source 0.94"" away [galactic plane]",DCAP71
DCAP_group195,AT 2026mjp,ZTF26aavtzdh,"DCAP, Pan-STARRS",,20.46,r-ZTF,2026-05-10 09:57:03.000,2461170.9146180553,2026-05-13 14:07:26,2461174.0884953705,3.174,5,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A2_nova_like,"no PS1 source within 3.0""",DCAP70
DCAP_group195,AT 2026mhn,ZTF26aawcshf,DCAP,CV,15.84,g-ZTF,2026-05-11 09:51:39.000,2461171.9108680557,2026-05-12 14:24:26,2461173.100300926,1.189,10,0,False,,no alerts before the cutoff,,,,False,,False,,already in TNS: CV,DCAP69
DCAP_group195,AT 2026mep,ZTF26aavfucz,"DCAP, ZTF, Fink, GOTO, ATLAS",,20.07,g-ZTF,2026-05-09 03:59:05.000,2461169.6660300926,2026-05-11 13:48:40,2461172.075462963,2.409,9,2,True,A2_nova_like,"no PS1 source within 3.0""",2461170.7113079,1.364,1.364,False,19.955343,True,A2_nova_like,"no PS1 source within 3.0""",DCAP68
DCAP_group195,AT 2026meo,ZTF26aavmqus,"DCAP, ZTF",,20.2,r-ZTF,2026-05-07 04:59:51.000,2461167.7082291665,2026-05-11 13:38:29,2461172.068391204,4.36,1,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"only 1 clean detection(s), need 2",DCAP67
DCAP_group195,AT 2026men,ZTF26aavnmxq,DCAP,,20.58,g-ZTF,2026-05-07 06:23:40.000,2461167.766435185,2026-05-11 13:31:12,2461172.0633333335,4.297,2,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP66
DCAP_group195,AT 2026mem,ZTF26aauuqgi,"DCAP, ZTF",,19.8,i-ZTF,2026-05-07 04:17:10.000,2461167.678587963,2026-05-11 13:24:37,2461172.058761574,4.38,4,3,True,A2_nova_like,"no PS1 source within 3.0""",2461170.693669,1.365,1.365,False,20.08395,True,A2_nova_like,"no PS1 source within 3.0""",DCAP65
DCAP_group195,AT 2026mel,ZTF26aavejdk,DCAP,,20.39,r-ZTF,2026-05-08 09:28:16.000,2461168.89462963,2026-05-11 13:18:08,2461172.0542592593,3.16,6,2,True,A2_nova_like,"no PS1 source within 3.0""",2461169.9227894,2.131,2.131,False,20.11929,True,A2_nova_like,"no PS1 source within 3.0""",DCAP64
DCAP_group195,AT 2026mek,ZTF26aavbxof,"DCAP, Pan-STARRS, YSE",,20.29,g-ZTF,2026-05-08 07:27:30.000,2461168.810763889,2026-05-11 13:08:45,2461172.0477430555,3.237,12,3,True,C_faint_residue,faint residue at mag 20.20,2461169.8567824,2.191,2.191,False,20.204437,True,C_faint_residue,faint residue at mag 20.20,DCAP63
DCAP_group195,AT 2026mej,ZTF26aavejfx,"DCAP, Pan-STARRS, YSE, GOTO",,20.12,i-ZTF,2026-05-08 08:13:17.000,2461168.8425578703,2026-05-11 12:57:55,2461172.040219907,3.198,8,3,True,A1_cv_outburst,"outburst on a PS1 point source 2.79"" away",2461169.9107986,2.129,2.129,False,20.136768,True,A1_cv_outburst,"outburst on a PS1 point source 2.79"" away",DCAP62
DCAP_group195,AT 2026mcc,ZTF26aavqdbg,DCAP,,16.89,r-ZTF,2026-05-10 06:38:16.000,2461170.7765740743,2026-05-11 12:48:59,2461172.0340162036,1.257,19,4,False,,clean detections span 0.0208 d < 0.02083 d -- cannot exclude a mover,,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP61
DCAP_group195,AT 2026mbe,ZTF20abkfgtl,"DCAP, ATLAS",,18.22,r-ZTF,2026-05-09 12:02:12.000,2461170.001527778,2026-05-11 07:08:21,2461171.797465278,1.796,5,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.63"" away [galactic plane]",2461170.0015278,1.796,1.796,True,18.2256,True,A1_cv_outburst,"outburst on a PS1 point source 2.63"" away [galactic plane]",DCAP60
DCAP_group195,AT 2026mbd,ZTF21abgyejm,DCAP,,18,r-ZTF,2026-05-07 11:16:42.000,2461167.9699305557,2026-05-11 03:43:28,2461171.6551851854,3.685,21,18,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2459382.9099769,1788.745,2.749,True,18.153938,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP59
DCAP_group195,SN 2026mbc,ZTF26aattefl,DCAP,SN Ia,17.55,g-ZTF,2026-05-02 09:57:45.000,2461162.9151041666,2026-05-11 03:30:36,2461171.64625,8.731,6,6,False,,SIMBAD says Galaxy (already-known variable or host),,,,False,,False,,SIMBAD says Galaxy (already-known variable or host),DCAP58
DCAP_group195,AT 2026lvk,ZTF26aaveiqd,DCAP,,17.05,r-ZTF,2026-05-08 09:18:41.000,2461168.887974537,2026-05-10 08:24:57,2461170.850659722,1.963,16,4,True,A1_cv_outburst,"outburst on a PS1 point source 2.26"" away [galactic plane]",2461168.957581,1.893,1.893,False,16.966843,True,A1_cv_outburst,"outburst on a PS1 point source 2.26"" away [galactic plane]",DCAP57
DCAP_group195,AT 2026lvj,ZTF26aauxipq,DCAP,,18.74,g-ZTF,2026-05-07 08:34:34.000,2461167.857337963,2026-05-10 08:16:46,2461170.8449768517,2.988,11,6,True,A1_cv_outburst,"outburst on a PS1 point source 2.17"" away [galactic plane]",2461167.961169,2.884,2.884,False,18.716915,True,A1_cv_outburst,"outburst on a PS1 point source 2.17"" away [galactic plane]",DCAP56
DCAP_group195,AT 2026lvi,ZTF26aaveohb,DCAP,,19.062,r-ZTF,2026-05-08 09:45:21.000,2461168.9064930556,2026-05-10 08:09:52,2461170.840185185,1.934,6,4,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461168.9514468,1.889,1.889,False,18.987185,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP55
DCAP_group195,AT 2026lvh,ZTF26aauvlnd,DCAP,,20.085,r-ZTF,2026-05-07 05:18:37.000,2461167.721261574,2026-05-10 08:01:45,2461170.834548611,3.113,8,4,True,A2_nova_like,"no PS1 source within 3.0""",2461169.7612384,1.073,1.073,False,20.08565,True,A2_nova_like,"no PS1 source within 3.0""",DCAP54
DCAP_group195,AT 2026lrg,ZTF26aauykmw,DCAP,,18.4,i-ZTF,2026-05-07 09:38:31.000,2461167.9017476854,2026-05-08 14:30:53,2461169.1047800924,1.203,2,2,True,A1_cv_outburst,"outburst on a PS1 point source 1.41"" away [galactic plane]",2461168.8998843,0.205,0.205,False,19.173998,True,A1_cv_outburst,"outburst on a PS1 point source 1.41"" away [galactic plane]",DCAP53
DCAP_group195,AT 2026lrf,ZTF26aauxbmc,"DCAP, GOTO, ZTF, YSE",,19.994,g-ZTF,2026-05-07 07:29:39.000,2461167.8122569444,2026-05-08 14:23:03,2461169.0993402777,1.287,11,3,True,A2_nova_like,"no PS1 source within 3.0""",2461168.8126505,0.287,0.287,False,20.108603,True,A2_nova_like,"no PS1 source within 3.0""",DCAP52
DCAP_group195,AT 2026lre,ZTF26aavdewg,"DCAP, GOTO, Pan-STARRS",,19.294,g-ZTF,2026-05-07 08:09:11.000,2461167.839710648,2026-05-08 14:09:33,2461169.089965278,1.25,9,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP51
DCAP_group195,AT 2026lqi,ZTF26aauuyto,"DCAP, GOTO, ATLAS",,18.876,r-ZTF,2026-05-07 04:57:48.000,2461167.7068055556,2026-05-08 08:58:30,2461168.8739583334,1.167,2,2,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP50
DCAP_group195,AT 2026lqf,ZTF26aauwlml,"DCAP, ZTF, GOTO",,19.909,g-ZTF,2026-05-07 06:24:22.000,2461167.7669212963,2026-05-08 08:47:30,2461168.8663194445,1.099,6,2,False,,"only 1 clean detection(s), need 2",,,,False,,True,A1_cv_outburst,"outburst on a PS1 point source 1.31"" away",DCAP49
DCAP_group195,SN 2026lqc,,"DCAP, ZTF, GOTO",SN Ia,19.424,g-ZTF,2026-05-07 08:58:48.000,2461167.8741666665,2026-05-08 08:35:46,2461168.8581712963,0.984,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,DCAP48
DCAP_group195,AT 2026lqb,ZTF26aauvezp,"DCAP, GOTO, ZTF, Pan-STARRS",,19.818,i-ZTF,2026-05-07 04:28:25.000,2461167.686400463,2026-05-08 08:29:14,2461168.853634259,1.167,15,4,True,A2_nova_like,"no PS1 source within 3.0""",2461167.7956134,1.058,1.058,False,19.8113,True,A2_nova_like,"no PS1 source within 3.0""",DCAP47
DCAP_group195,AT 2026lpy,,DCAP,,19.606,g-ZTF,2026-05-02 04:04:25.000,2461162.6697337963,2026-05-08 08:16:21,2461168.8446875,6.175,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,DCAP46
DCAP_group195,AT 2026lof,ZTF26aausreg,DCAP,,17.785,g-ZTF,2026-05-02 10:07:24.000,2461162.9218055555,2026-05-07 12:48:15,2461168.0335069443,5.112,9,3,True,A1_cv_outburst,"outburst on a PS1 point source 2.78"" away [galactic plane]",2461162.955081,5.078,5.078,False,17.563173,True,A1_cv_outburst,"outburst on a PS1 point source 2.78"" away [galactic plane]",DCAP45
DCAP_group195,SN 2026loe,ZTF26aauxhbp,"DCAP, ZTF, BlackGEM, ATLAS",SN Ia,17.309,i-ZTF,2026-05-03 11:28:50.000,2461163.9783564815,2026-05-07 12:39:50,2461168.027662037,4.049,19,2,False,,SIMBAD says Galaxy (already-known variable or host),,,,False,,False,,SIMBAD says Galaxy (already-known variable or host),DCAP44
DCAP_group195,AT 2026lio,ZTF21abapsvz,DCAP,,17.465,g-ZTF,2026-04-29 11:00:52.000,2461159.9589351853,2026-05-04 14:30:52,2461165.1047685184,5.146,23,22,True,A1_cv_outburst,"outburst on a PS1 point source 0.04"" away [galactic plane]",2460201.6918519,963.413,4.126,True,18.927078,False,,already catalogued in VSX: UGSS,DCAP43
DCAP_group195,AT 2026lin,ZTF19abdoomx,DCAP,,18.394,r-ZTF,2026-05-02 10:50:32.000,2461162.951759259,2026-05-04 14:17:10,2461165.09525463,2.143,7,7,True,A1_cv_outburst,"outburst on a PS1 point source 0.19"" away [galactic plane]",2459422.8618866,1742.233,2.167,True,18.414537,True,A1_cv_outburst,"outburst on a PS1 point source 0.19"" away [galactic plane]",DCAP42
DCAP_group195,AT 2026lim,ZTF19aanyknt,"DCAP, GOTO",,19.503,r-ZTF,2026-05-01 10:55:41.000,2461161.9553356483,2026-05-04 13:57:07,2461165.0813310184,3.126,33,19,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2459292.0032176,1873.078,2.125,True,19.616308,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP40
DCAP_group195,AT 2026lik,ZTF26aauopgl,DCAP,,18.527,r-ZTF,2026-04-30 10:23:55.000,2461160.933275463,2026-05-04 13:34:15,2461165.0654513887,4.132,4,4,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461160.9800347,4.085,4.085,False,18.640602,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP39
DCAP_group195,SN 2026lij,,"DCAP, ZTF",SN Ia,18.198,r-ZTF,2026-04-30 10:03:52.000,2461160.919351852,2026-05-04 13:27:38,2461165.0608564815,4.142,0,0,False,,no Fink alerts at all,,,,False,,False,,no Fink alerts at all,DCAP38
DCAP_group195,AT 2026lii,ZTF26aaumwah,DCAP,,19.494,r-ZTF,2026-04-29 10:25:12.000,2461159.9341666666,2026-05-04 13:20:32,2461165.0559259257,5.122,1,1,False,,"only 1 clean detection(s), need 2",,,,False,,False,,"only 1 clean detection(s), need 2",DCAP37
DCAP_group195,AT 2026lih,ZTF26aaumvqv,DCAP,,17.636,r-ZTF,2026-04-29 10:01:49.000,2461159.9179282407,2026-05-04 13:12:13,2461165.050150463,5.132,12,4,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461160.9595255,4.091,4.091,False,18.326698,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",DCAP36
DCAP_group195,AT 2026ldc,ZTF26aaunaud,DCAP,,17.844,r-ZTF,2026-04-29 12:11:28.000,2461160.007962963,2026-04-30 13:53:16,2461161.0786574073,1.071,25,2,True,A1_cv_outburst,"outburst on a PS1 point source 1.74"" away [galactic plane]",2461160.9184144,0.16,0.16,False,17.193518,False,,already catalogued in VSX: N,DCAP35
DCAP_group195,SN 2026lda,ZTF26aaupgtw,"DCAP, ZTF, ATLAS, GOTO, YSE, Pan-STARRS",SN Ia,19.207,r-ZTF,2026-04-29 11:48:24.000,2461159.9919444444,2026-04-30 13:24:20,2461161.0585648147,1.067,189,2,False,,clean detections span 0.0019 d < 0.02083 d -- cannot exclude a mover,,,,False,,False,,already in TNS: SN Ia,DCAP34
DCAP_group195,AT 2026lcw,ZTF26aaujiyq,DCAP,,16.998,g-ZTF,2026-04-28 10:47:07.000,2461158.949386574,2026-04-30 13:01:13,2461161.042511574,2.093,23,3,True,A2_nova_like,"no PS1 source within 3.0""",2461160.970544,0.072,0.072,False,17.285238,True,A2_nova_like,"no PS1 source within 3.0""",DCAP33
DCAP_group195,AT 2026lck,ZTF26aatyimr,DCAP,Nova,15.89,i-ZTF,2026-04-24 09:54:13.000,2461154.912650463,2026-04-30 04:11:19,2461160.674525463,5.762,133,6,False,,already catalogued in VSX: YSO:,,,,False,,False,,already catalogued in VSX: YSO:,DCAP32
DCAP_group195,AT 2026lcd,ZTF19aarylmo,DCAP,,18.315,r-ZTF,2026-04-29 10:03:12.000,2461159.918888889,2026-04-29 15:00:04,2461160.1250462965,0.206,17,8,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,False,,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",DCAP31
DCAP_group195,AT 2026lcc,ZTF18abinavx,DCAP,,18.276,g-ZTF,2026-04-29 11:29:09.000,2461159.9785763887,2026-04-29 14:46:54,2461160.1159027778,0.137,45,40,True,A1_cv_outburst,"outburst on a PS1 point source 0.04"" away [galactic plane]",2459137.6056944,2022.51,,True,18.15888,True,A1_cv_outburst,"outburst on a PS1 point source 0.04"" away [galactic plane]",DCAP30
DCAP_group195,AT 2026lcb,ZTF19aarxyqx,DCAP,,18.065,r-ZTF,2026-04-21 10:08:07.000,2461151.9223032407,2026-04-29 14:29:29,2461160.1038078703,8.182,33,30,True,A1_cv_outburst,"outburst on a PS1 point source 0.24"" away [galactic plane]",2459462.7319792,1697.372,11.12,True,19.287863,True,A1_cv_outburst,"outburst on a PS1 point source 0.24"" away [galactic plane]",DCAP29
