rank_score,oid,STATUS,arm,ra,dec,gal_b,channel,reason,mag_at_pass,band_at_pass,amp,ptp_band,n_outburst_episodes,brightest_ever_mag,hist_span_days,neg_frac,n_neg,n_conf,n_clean,n_alerts,ndethist,drb,sgscore1,distpsnr1,distnr,magnr,gaia_DR3Name,gaia_Gmag,gaia_Plx,gaia_BP-RP,JK,gaiavar_Class,vsx_Name,vsx_Type,vsx_sep,atlasvs_Class,atlasvs_sep,ps1_sep,flag_vsx,flag_gcvs,flag_known_cv,flag_simbad,simbad,tns_nearest,tns_sep_arcsec,probably,outburst_history,fink_link,first_pass_jd
1.363,ZTF18abvosgm,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,299.2003398,-18.1923382,-22.348820153146185,A1_cv_outburst,"outburst on a PS1 point source 0.24"" away",19.281672,g,2.562,0.676,13,18.78,2896.02,0.0,0.0,5.0,5,5,49.0,0.998806,0.820327,0.23566145,2.7927506,21.365,Gaia DR3 6870431829321824256,19.782747,,0.429922,,,MLS_J195648.4-181134,UG,4.79,,,0.24,,,,,Unknown,AT 2026uqd,921.87,"a point source has brightened by 2.6 mag above its quiescent level at |b| = 22.3 deg, now at mag 19.3, varying 0.68 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=19.782747).",MJD 60249.1-60249.1 peak 19.10 (1 det) | MJD 60535.3-60535.3 peak 19.02 (2 det) | MJD 60625.1-60625.1 peak 19.15 (1 det) | MJD 60823.4-60823.4 peak 19.47 (1 det) | MJD 60899.2-60899.3 peak 18.88 (2 det) | MJD 60979.1-60981.1 peak 18.78 (3 det) | MJD 61199.4-61200.4 peak 19.12 (3 det) | MJD 61270.2-61274.3 peak 18.80 (5 det),https://fink-portal.org/ZTF18abvosgm,2461270.7488889
1.115,ZTF24abuztdc,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,27.1181225,-19.4061678,-74.81212621875625,A1_cv_outburst,"outburst on a PS1 point source 0.26"" away",19.828556,r,1.354,0.147,3,19.83,1070.1,0.0,0.0,2.0,2,2,67.0,0.99914014,0.5,0.2550128,0.34823176,21.183,,,,,,,,,,,,0.26,,,,,Unknown,AT 2025adug,2764.51,"a point source has brightened by 1.4 mag above its quiescent level at |b| = 74.8 deg, now at mag 19.8, varying 0.15 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 60920.4-60922.4 peak 19.91 (2 det) | MJD 61021.1-61031.1 peak 19.96 (3 det) | MJD 61274.4-61275.4 peak 19.83 (2 det),https://fink-portal.org/ZTF24abuztdc,2461275.9385185
1.007,ZTF18acvmvpg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,281.1903398,12.4602206,7.105498698527731,A1_cv_outburst,"outburst on a PS1 point source 0.50"" away [galactic plane]",16.823872,r,3.768,2.611,8,16.05,2811.16,0.0,0.0,3.0,3,3,105.0,1.0,0.850333,0.4961291,0.6282735,19.796999,Gaia DR3 4505319886330067072,19.879721,1.2004,1.206827,,,ASASSN-21kf,UG,0.81,,,0.5,UG,,VSX:UG,,Unknown,SN 2025taz,405.15,"a point source has brightened by 3.8 mag above its quiescent level in the galactic plane (|b| = 7.1 deg), now at mag 16.8, varying 2.61 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.879721).",MJD 59370.4-59386.4 peak 16.05 (15 det) | MJD 59694.4-59701.4 peak 16.41 (13 det) | MJD 60042.5-60051.5 peak 16.86 (11 det) | MJD 60255.1-60255.1 peak 16.71 (4 det) | MJD 60420.4-60433.5 peak 16.32 (12 det) | MJD 60555.2-60555.2 peak 18.20 (1 det) | MJD 60699.6-60699.6 peak 17.24 (4 det) | MJD 61275.2-61276.2 peak 16.64 (3 det),https://fink-portal.org/ZTF18acvmvpg,2461276.7315278
1.006,ZTF19acbplek,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,267.0175895,8.0610335,17.727683156527302,A1_cv_outburst,"outburst on a PS1 point source 0.06"" away",18.394321,r,3.694,0.057,13,17.71,3040.75,0.0,0.0,4.0,4,4,202.0,0.9999832,0.507964,0.05599729,0.18724665,21.728,,,,,,,,,,,,0.06,,,,,Unknown,AT 2026hvy,2406.7,"a point source has brightened by 3.7 mag above its quiescent level at |b| = 17.7 deg, now at mag 18.4, varying 0.06 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 59753.3-59753.3 peak 18.51 (4 det) | MJD 60098.3-60098.4 peak 18.21 (2 det) | MJD 60223.1-60227.2 peak 18.36 (6 det) | MJD 60714.5-60714.5 peak 19.46 (1 det) | MJD 60816.3-60816.5 peak 18.63 (4 det) | MJD 60905.2-60905.2 peak 19.29 (1 det) | MJD 61072.6-61078.6 peak 17.84 (7 det) | MJD 61276.2-61276.2 peak 18.23 (4 det),https://fink-portal.org/ZTF19acbplek,2461276.7275116
0.996,ZTF18abzvuub,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,284.32698,-11.009,-6.28356422907757,A1_cv_outburst,"outburst on a PS1 point source 0.86"" away [galactic plane]",16.658516,g,3.104,0.508,3,16.47,2879.04,0.0,0.0,10.0,10,10,61.0,0.99999976,0.75275,0.8551478,0.7123586,19.763,Gaia DR3 4202074064010359168,20.278814,1.4027,0.627405,,,ASASSN-19yd,UG,0.07,,,0.86,UG,,VSX:UG,,Unknown,AT 2026nxf,3968.67,"a point source has brightened by 3.1 mag above its quiescent level in the galactic plane (|b| = 6.3 deg), now at mag 16.7, varying 0.51 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=20.278814).",MJD 60519.2-60531.3 peak 16.49 (7 det) | MJD 60840.4-60849.4 peak 16.47 (9 det) | MJD 61267.2-61275.2 peak 16.48 (10 det),https://fink-portal.org/ZTF18abzvuub,2461268.7103704
0.974,ZTF19aampgvg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,262.7816112,-5.0430688,15.32324758107904,A1_cv_outburst,"outburst on a PS1 point source 0.24"" away",19.316406,g,3.296,0.312,21,17.52,2903.16,0.0,0.0,5.0,5,5,216.0,0.9998597,0.933931,0.24336454,0.39350423,21.598,,,,,,,,,,,,0.24,,,,,Unknown,SN 2026nbh,2477.31,"a point source has brightened by 3.3 mag above its quiescent level at |b| = 15.3 deg, now at mag 19.3, varying 0.31 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 60417.4-60417.5 peak 19.02 (2 det) | MJD 60546.2-60572.2 peak 18.35 (3 det) | MJD 60724.6-60744.5 peak 18.39 (4 det) | MJD 60864.3-60864.3 peak 18.83 (1 det) | MJD 60927.2-60927.2 peak 19.80 (1 det) | MJD 61093.6-61162.4 peak 17.52 (17 det) | MJD 61223.3-61245.3 peak 18.63 (3 det) | MJD 61276.2-61276.3 peak 18.32 (2 det),https://fink-portal.org/ZTF19aampgvg,2461223.8499653
0.63,ZTF23aajtssy,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,312.1949593,-3.3008692,-27.48761396304412,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away",19.430157,g,2.307,0.414,6,19.05,1476.94,0.0,0.0,67.0,67,68,686.0,0.9999998,0.784375,0.07278442,0.17399168,21.498,Gaia DR3 6915145183353582464,20.75947,,0.069736,,,,,,,,0.07,,,,,Unknown,AT 2025ueh,237.88,"a point source has brightened by 2.3 mag above its quiescent level at |b| = 27.5 deg, now at mag 19.4, varying 0.41 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.75947).",MJD 60079.4-60260.1 peak 19.83 (32 det) | MJD 60445.5-60651.1 peak 19.23 (81 det) | MJD 60750.5-60750.5 peak 19.31 (1 det) | MJD 60789.5-60948.2 peak 19.18 (76 det) | MJD 61020.1-61020.1 peak 19.28 (1 det) | MJD 61127.5-61276.4 peak 19.05 (122 det),https://fink-portal.org/ZTF23aajtssy,2461216.8771065
0.423,ZTF21acjbvjh,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,327.9327874,-10.080071,-44.44329562561433,A1_cv_outburst,"outburst on a PS1 point source 0.36"" away",19.892056,g,1.878,0.343,8,19.43,2074.15,0.0,0.0,49.0,48,50,486.0,0.9989469,0.719333,0.3614282,0.35882154,21.559,Gaia DR3 2617783460265710464,20.771847,,0.770639,,,,,,,,0.36,,,,,Unknown,AT 2026rda,1414.44,"a point source has brightened by 1.9 mag above its quiescent level at |b| = 44.4 deg, now at mag 19.9, varying 0.34 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.771847).",MJD 59517.1-59524.2 peak 20.64 (2 det) | MJD 59824.3-59874.2 peak 20.29 (4 det) | MJD 60108.4-60237.2 peak 19.87 (26 det) | MJD 60525.3-60580.2 peak 20.10 (9 det) | MJD 60635.2-60648.2 peak 19.94 (5 det) | MJD 60817.4-60948.2 peak 19.80 (78 det) | MJD 61020.1-61028.1 peak 19.43 (3 det) | MJD 61200.4-61275.3 peak 19.55 (71 det),https://fink-portal.org/ZTF21acjbvjh,2461217.8783449
0.381,ZTF19aarylmv,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,262.6073866,-1.9150964,17.01728504448779,A1_cv_outburst,"outburst on a PS1 point source 0.17"" away",17.713104,r,4.671,1.026,12,17.71,2668.77,0.0,0.0,11.0,11,11,78.0,0.99999774,0.5,0.17184399,2.4718208,20.268,Gaia DR3 4370116789755440256,20.534546,-1.2133,1.1775,,,Gaia17bdh,UG:,0.15,,,0.17,UG:,,VSX:UG:,,Unknown,AT 2026aup,3671.96,"a point source has brightened by 4.7 mag above its quiescent level at |b| = 17.0 deg, now at mag 17.7, varying 1.03 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=20.534546).",MJD 59697.4-59700.5 peak 17.94 (3 det) | MJD 59985.5-59985.5 peak 18.76 (1 det) | MJD 60058.4-60058.4 peak 18.94 (1 det) | MJD 60125.3-60125.4 peak 19.06 (2 det) | MJD 60441.4-60449.4 peak 17.88 (8 det) | MJD 60536.2-60536.2 peak 18.53 (2 det) | MJD 60732.5-60744.5 peak 17.87 (5 det) | MJD 61267.2-61276.3 peak 17.71 (11 det),https://fink-portal.org/ZTF19aarylmv,2461267.7121528
0.266,ZTF19aafohks,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,268.1301022,2.3266796,14.158666937983725,D_galactic_plane,"|b| = 14.2 deg, extended association 0.03""",19.213451,r,3.122,1.034,13,18.86,3008.81,0.0,0.0,6.0,6,6,109.0,0.9987142,0.449813,0.0335302,0.25087503,21.627,Gaia DR3 4469031776368328320,19.784906,,0.585396,,CV,Gaia DR3 4469031776368328320,UG,0.04,,,0.03,UG,,VSX:UG,,Unknown,AT 2026nfr,3195.09,"in the galactic plane (|b| = 14.2 deg), mag 19.2, varying 1.03 mag peak-to-peak within one band; the survey pipelines report almost nothing from here at any magnitude. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.784906).",MJD 59805.2-59805.2 peak 19.20 (2 det) | MJD 60032.4-60032.4 peak 19.55 (1 det) | MJD 60182.2-60184.2 peak 19.00 (3 det) | MJD 60459.4-60468.4 peak 19.10 (6 det) | MJD 60561.2-60561.2 peak 19.76 (1 det) | MJD 60822.4-60828.3 peak 19.17 (4 det) | MJD 61175.4-61179.4 peak 19.71 (5 det) | MJD 61270.2-61276.2 peak 18.92 (6 det),https://fink-portal.org/ZTF19aafohks,2461271.6702894
0.254,ZTF21abfxngg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,339.1828991,-20.5391305,-58.597903388948566,A1_cv_outburst,"outburst on a PS1 point source 0.22"" away",19.608301,r,1.366,0.416,8,19.33,2532.94,0.0,0.0,43.0,40,43,722.0,0.9880878,0.969167,0.21705107,0.07054491,20.619,Gaia DR3 2400803086861140352,20.611341,-0.3608,0.448648,,,,,,,,0.22,,,,,Unknown,AT 2025akwl,544.83,"a point source has brightened by 1.4 mag above its quiescent level at |b| = 58.6 deg, now at mag 19.6, varying 0.42 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.611341).",MJD 59377.4-59488.2 peak 20.09 (6 det) | MJD 59523.1-59550.1 peak 19.55 (10 det) | MJD 59755.4-59898.2 peak 19.33 (60 det) | MJD 60111.4-60284.2 peak 19.52 (54 det) | MJD 60491.4-60604.2 peak 19.75 (11 det) | MJD 60637.1-60640.1 peak 19.94 (2 det) | MJD 60846.4-61021.1 peak 19.47 (75 det) | MJD 61206.5-61275.4 peak 19.38 (44 det),https://fink-portal.org/ZTF21abfxngg,2461227.8738657
0.231,ZTF18abmirqr,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,290.3116615,-2.8389403,-7.924776383681518,A1_cv_outburst,"outburst on a PS1 point source 0.01"" away [galactic plane]",18.009369,g,1.827,2.164,12,18.01,2977.83,0.0,0.0,12.0,12,12,986.0,0.99999905,0.928917,0.00877131,0.21926692,19.836,Gaia DR3 4214530121986316288,18.95783,0.4608,0.736731,,,MGAB-V436,UG,0.06,,,0.01,UG,,VSX:UG,,Fail 502,AT 2026tqx,1239.2,"a point source has brightened by 1.8 mag above its quiescent level in the galactic plane (|b| = 7.9 deg), now at mag 18.0, varying 2.16 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=18.95783).",MJD 59674.5-59894.2 peak 18.46 (38 det) | MJD 60054.4-60255.1 peak 18.75 (31 det) | MJD 60354.6-60368.5 peak 18.50 (8 det) | MJD 60404.5-60629.1 peak 18.65 (46 det) | MJD 60725.6-60948.2 peak 18.52 (42 det) | MJD 61105.5-61105.5 peak 19.14 (1 det) | MJD 61148.5-61191.4 peak 18.37 (11 det) | MJD 61238.4-61276.2 peak 18.01 (12 det),https://fink-portal.org/ZTF18abmirqr,2461240.7679398
0.211,ZTF24abswyck,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,354.4864331,8.6057356,-50.07456713092071,A1_cv_outburst,"outburst on a PS1 point source 0.21"" away",20.227388,r,1.211,0.454,4,19.72,1441.04,0.0,0.0,18.0,16,18,171.0,0.99968827,0.96744,0.205682,0.17089841,21.31,Gaia DR3 2758324209054026240,20.905527,,0.119452,,,,,,,,0.21,,,,,Unknown,AT 2025agpx,2473.94,"a point source has brightened by 1.2 mag above its quiescent level at |b| = 50.1 deg, now at mag 20.2, varying 0.45 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.905527).",MJD 60649.2-60649.2 peak 20.60 (1 det) | MJD 60843.4-60949.4 peak 19.75 (22 det) | MJD 61015.1-61059.1 peak 19.72 (9 det) | MJD 61181.5-61275.4 peak 19.98 (20 det),https://fink-portal.org/ZTF24abswyck,2461229.9634838
